"id","visit","center","fca2c","fca2d","fca3c","fca3d","fca4c","fca4d","fca5c","fca5d","fca6c","fca6d","fca7c","fca7d","fca8c","fca8d","fca9c","fca9d","fca10c","fca10d","fca11c","fca11d","fca12c","fca12d","fca13c","fca13d","fca14c","fca14d","fca15","fca1b","fca2b","fca3b","fca4b","fca5b","fca6b","fca7b","fca8b","fca9b","fca10b","fca11b","fca12b","fca13b","fca14b","fca16"
"EA40631",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,"===",8,33,15,10,6,3,1,,,,,,,,5/15/1996
"EA40643",8,"EA","MOM","B","DAD","S","SIS","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,"BEB",8,27,36,10,6,51,,,,,,,,,2/15/1998
"EA40664",8,"EA","AUN","B","UNC","U","CSF","B","CSM","B","CSF","B","CSM","B","CSM","U","CSF","U",,,,,,,,,,,"SLA",7,41,,,,,,,,,,,,,8/15/1996
"EA40670",8,"EA","MOM","B","SIS","B","DAD","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,"MPG",8,40,5,47,25,22,,,,,,,,,3/15/1997
"EA40692",8,"EA","MOM","B","AUN","B","CSM","B",,,,,,,,,,,,,,,,,,,,,"===",8,35,33,14,,,,,,,,,,,5/15/1996
"EA40724",8,"EA","MOM","B","OMA","U","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"CET",8,26,37,5,2,,,,,,,,,,12/15/1997
"EA40739",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"JAS",8,25,3,2,,,,,,,,,,,6/15/1997
"EA40746",8,"EA","MOM","B","DAD","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"CET",8,30,59,48,,,,,,,,,,,11/15/1996
"EA40752",8,"EA","MOM","B","SIS","B","SIS","B","CSF","B","CSM","B",,,,,,,,,,,,,,,,,"CET",8,26,10,3,21,0,,,,,,,,,5/15/1997
"EA40767",8,"EA","MOM","B","OMA","U","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",8,25,20,5,4,,,,,,,,,,3/15/1997
"EA40778",8,"EA","SIS","B","SIS","B","BRO","B","MOM","B",,,,,,,,,,,,,,,,,,,"===",8,22,10,12,40,,,,,,,,,,9/15/1996
"EA40780",8,"EA","MOM","B","SIS","B","SIS","B","OMA","U",,,,,,,,,,,,,,,,,,,"CET",7,30,11,6,25,,,,,,,,,,10/15/1997
"EA40795",8,"EA","MOM","B","SIS","B","UNC","B",,,,,,,,,,,,,,,,,,,,,"JAS",8,26,6,31,,,,,,,,,,,1/15/1997
"EA40800",8,"EA","MOM","B","GMA","X","BRO","X","CSF","X","CSF","B",,,,,,,,,,,,,,,,,"DNG",8,30,47,10,10,4,,,,,,,,,5/15/1996
"EA40813",8,"EA","MOM","B","SIS","B","SIS","B","SIS","B","GMA","B",,,,,,,,,,,,,,,,,"JRB",8,27,9,4,4,46,,,,,,,,,6/15/1996
