"center","id","visit","YSCA1A","YSCA1B","YSCA1C","YSCA2A","YSCA2B","YSCA2C","YSCA9","YSCA1","YSCA1A1","YSCA1A2","YSCA1B0","YSCA1B1","YSCA1B2","YSCA1C0","YSCA1C1","YSCA1C2","YSCA2","YSCA2A1","YSCA2A2","YSCA2B0","YSCA2B1","YSCA2B2","YSCA2C0","YSCA2C1","YSCA2C2","YSCA3","YSCA3A1","YSCA3B0","YSCA3B1","YSCA3C0","YSCA3C1","YSCA4","YSCA4A1","YSCA4B0","YSCA4B1","YSCA4C0","YSCA4C1","YSCA5A","YSCA5B","YSCA6A","YSCA6B","YSCA6C","YSCA6D","YSCA7A","YSCA8A","YSCA8B","YSCA8C","YSCA8D","YSCA8E","YSCA8F","YSCA8G","YSCA10"
"EA","EA40505",18,"BASKETBALL",,,"READING",,,"M S",1,1,1,0,,,,,,1,1,2,0,,,,,,0,,,,,,1,2,0,,,,2,2,9,2,2,2,0,,,,,,,,4/15/2008
"EA","EA40518",18,"DANCE",,,"BOOKS",,,"MJM",1,1,1,0,,,,,,1,2,1,0,,,,,,0,,,,,,0,,,,,,3,1,2,1,2,1,1,9,2,2,3,3,9,,2/15/2010
"EA","EA40526",12,"BASEBALL",,,,,,"DKV",1,1,0,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,3,2,9,1,2,2,1,2,1,2,3,,,,2/15/2001
"EA","EA40526",18,,,,"PLAYING CARDS","PHOTOGRAPHY",,"LHM",0,,,,,,,,,1,2,2,1,2,2,0,,,0,,,,,,0,,,,,,2,0,9,1,2,1,0,,,,,,,,2/15/2007
"EA","EA40560",12,"FOOTBALL",,,"WATCHING T.V.","DRAWING",,"DKV",1,0,0,0,,,,,,1,1,2,1,0,1,0,,,0,,,,,,0,,,,,,0,0,2,2,1,2,1,,,,,,,,4/15/2001
"EA","EA40560",18,"BASKETBALL, FOOTBALL,",,,"DRAWING",,,"NDJ",1,0,1,0,,,,,,1,1,2,0,,,,,,0,,,,,,1,1,0,,,,2,2,1,1,1,1,0,,,,,,,,7/15/2007
"EA","EA40593",12,"BASKETBALL","HOCKEY","FOOTBALL",,,,"KYR",1,1,1,1,1,2,1,1,2,0,,,,,,,,,1,2,0,,,,1,0,1,2,0,,3,2,1,1,2,2,1,2,2,3,3,9,,,2/15/2001
"EA","EA40606",12,"BASKETBALL","FOOTBALL",,,,,"DKV",1,1,2,1,1,2,0,,,0,,,,,,,,,0,,,,,,1,2,1,1,0,,2,1,0,2,1,2,1,9,2,3,2,,,,3/15/2001
"EA","EA40619",18,"BASKETBALL","SOCCER",,"CARDS","BOOKS","GO OUT WITH FRIENDS","MJM",1,1,2,1,0,2,0,,,1,0,2,1,2,0,1,2,0,1,0,0,,,,1,2,0,,,,3,0,1,2,2,2,1,2,2,2,9,9,,,6/15/2009
"EA","EA40631",12,,,,"RIDE MY BIKE","PLAY VIDEO GAMES",,"KYR",0,,,,,,,,,1,2,2,1,2,2,0,,,0,,,,,,1,2,1,2,0,,3,2,2,1,2,2,1,2,2,2,2,9,,,3/15/2000
"EA","EA40631",18,,,,"DUKE BIKES","MUSIC",,"JWW",0,,,,,,,,,1,1,1,1,2,0,0,,,1,2,0,,,,1,1,1,2,0,,1,2,0,2,1,2,0,,,,,,,,5/15/2006
"EA","EA40643",12,"FOOTBALL","BASKETBALL","BASEBALL","PLAYING VIDEO GAMES",,,"DKV",1,2,2,1,0,1,1,0,1,1,1,2,0,,,,,,1,2,0,,,,1,1,0,,,,3,2,2,2,2,2,1,2,3,1,2,9,,,3/15/2002
"EA","EA40643",18,"FOOTBALL",,,,,,"MJM",1,1,2,0,,,,,,0,,,,,,,,,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,0,,,,,,,,3/15/2010
"EA","EA40655",12,"FOOTBALL","BASKETBALL",,"ART-DRAW CARTOON CHARACTERS",,,"KYR",1,1,2,1,2,2,0,,,1,1,1,0,,,,,,0,,,,,,1,1,1,0,1,1,2,2,1,1,2,2,1,2,2,3,2,2,9,,10/15/2001
"EA","EA40655",18,"FOOTBALL","BASKETBALL","SOCCER","GAMES, VIDEO, GAMES","COOKING",,"LHM",1,1,1,1,2,1,1,1,0,1,1,2,1,2,2,0,,,0,,,,,,1,2,0,,,,2,2,1,2,2,2,1,2,9,3,9,2,3,3,1/15/2009
"EA","EA40664",18,"SWIMMING",,,"READING FASHION MAG.",,,"NDJ",1,0,1,0,,,,,,1,2,2,0,,,,,,0,,,,,,0,,,,,,2,1,2,2,2,2,1,3,9,9,9,,,,7/15/2007
"EA","EA40692",18,"BOWLING","FOOTBALL","BASKETBALL","CARS","GAMES",,"MJM",1,2,2,1,1,2,1,0,1,1,2,1,1,1,2,0,,,1,0,1,1,1,0,1,2,1,2,1,1,3,2,2,2,2,1,1,2,3,3,2,3,2,9,3/15/2009
"EA","EA40724",18,,,,"WRITING AND READING POETRY","TAKE THINGS APART",,"LHM",0,,,,,,,,,1,2,1,1,2,1,0,,,1,1,0,,,,1,2,0,,,,3,2,1,2,1,1,0,,,,,,,,2/15/2009
"EA","EA40739",12,"FOOTBALL","BASKETBALL",,"FIXING THINGS THAT ARE BROKEN AROUND THE HOUS","BUILDING CLUBHOUSES TREE FORTS",,"SCH",1,2,2,1,1,1,0,,,1,1,1,1,2,1,0,,,0,,,,,,1,2,1,2,1,1,3,2,2,2,2,2,1,3,3,3,9,3,3,2,1/15/2002
"EA","EA40739",18,"FOOTBALL","BASEBALL",,"PIANO","VIDEO GAMES","CARDS","LHM",1,1,2,1,1,1,0,,,1,2,1,1,2,2,1,1,1,0,,,,,,1,2,0,,,,2,1,1,1,2,2,0,,,,,,,,3/15/2009
"EA","EA40746",12,"BASKETBALL",,,,,,"SCH",1,2,1,0,,,,,,0,,,,,,,,,0,,,,,,1,1,0,,,,0,0,2,0,2,2,1,1,1,2,2,2,2,,1/15/2001
"EA","EA40746",18,"SKATING, BASKETBALL",,,"BUILD CARS, READ BOOKS,",,,"NDJ",1,1,1,0,,,,,,1,1,1,0,,,,,,0,,,,,,1,1,0,,,,3,2,2,2,2,1,1,2,2,2,2,2,9,,5/15/2007
"EA","EA40752",12,"FOOTBALL","BASKETBALL",,,,,"KYR",1,2,2,1,2,2,0,,,0,,,,,,,,,0,,,,,,0,,,,,,3,2,2,1,2,2,1,2,2,2,2,9,,,4/15/2002
"EA","EA40752",18,"FOOTBALL","BASKETBALL","BASEBALL","CARS","VIDEO GAMES",,"LHM",1,0,2,1,0,1,1,0,0,1,1,0,1,2,2,0,,,1,2,0,,,,1,2,0,,,,3,1,2,2,2,2,0,,,,,,,,4/15/2009
"EA","EA40767",12,"BASKETBALL","FOOTBALL",,,,,"DKV",1,2,2,1,2,2,0,,,0,,,,,,,,,0,,,,,,1,2,1,2,0,,3,2,2,2,2,2,1,2,2,2,2,9,,,2/15/2002
"EA","EA40767",18,,,,"MAKING MUSIC",,,"MJM",0,,,,,,,,,1,2,2,0,,,,,,1,2,0,,,,1,2,1,2,1,2,3,1,2,2,2,2,0,,,,,,,,2/15/2009
"EA","EA40778",18,"FOOTBALL","BASEBALL",,,,,"MJM",1,1,2,1,2,1,0,,,0,,,,,,,,,0,,,,,,1,2,0,,,,1,0,1,1,1,2,0,,,,,,,,2/15/2009
"EA","EA40780",12,"BASEBALL","BASKETBALL",,"COLLECT POKEMON CARDS",,,"KYR",1,2,2,1,2,1,0,,,1,2,2,0,,,,,,1,2,0,,,,1,1,1,2,1,1,3,2,1,1,1,1,1,3,2,2,0,3,9,,11/15/2001
"EA","EA40780",18,"FOOTBALL","BASKETBALL",,"PLAYSTATION",,,"MJM",1,1,1,1,1,1,0,,,1,1,2,0,,,,,,0,,,,,,1,2,1,0,0,,2,2,1,1,2,2,0,,,,,,,,11/15/2008
"EA","EA40795",12,"FOOTBALL",,,,,,"DKV",1,0,1,0,,,,,,0,,,,,,,,,1,0,0,,,,1,1,1,0,0,,1,1,2,0,2,2,1,2,2,2,2,1,9,,5/15/2001
"EA","EA40800",12,"BASKETBALL","SOCCER","FOOTBALL",,,,"KYR",1,1,1,1,2,2,1,2,2,0,,,,,,,,,0,,,,,,1,0,1,1,1,2,3,1,1,1,1,2,1,2,2,2,2,3,9,,12/15/2000
"EA","EA40813",12,"FOOTBALL","BASKETBALL",,"SKATING -ROLLER",,,"KRW",1,1,1,1,1,2,0,,,1,1,1,0,,,,,,0,,,,,,1,2,1,2,1,2,3,2,2,1,2,1,0,,,,,,,,8/15/2000
"EA","EA40821",18,,,,"BOOKS",,,"MJM",0,,,,,,,,,1,2,1,0,,,,,,0,,,,,,1,2,0,,,,2,1,1,1,1,2,0,,,,,,,,10/15/2009
"EA","EA40849",18,"BIKE RIDING","SKATING",,"READING",,,"M J",1,0,1,1,0,1,0,,,1,2,2,0,,,,,,0,,,,,,1,1,1,2,1,1,2,2,1,1,1,1,1,1,9,9,9,2,9,,1/15/2010
"EA","EA40865",12,"BASKETBALL","FOOTBALL",,"BIKE RIDING","READ",,"SCH",1,1,1,1,2,1,0,,,1,1,1,1,1,2,0,,,0,,,,,,1,1,1,2,1,2,3,1,1,1,1,1,1,3,3,3,3,3,3,,11/15/2002
"EA","EA40865",18,"BASEBALL","BASKETBALL","FOOTBALL","PIANO","DRUMS","BOWLING","MJM",1,0,0,1,2,2,1,1,1,1,0,2,1,1,1,1,0,1,1,2,1,0,1,2,1,1,1,1,1,2,3,2,2,2,2,2,1,2,3,3,1,3,3,9,7/15/2008
"EA","EA40876",12,"BASEBALL","FOOTBALL",,"BIKE RIDING",,,"SCH",1,1,2,1,0,2,0,,,1,1,2,0,,,,,,0,,,,,,1,0,1,2,0,,3,2,2,2,2,2,1,3,1,2,2,,,,12/15/2000
"EA","EA40876",18,"FOOTBALL","POOL",,"DRIVING",,,"LHM",1,0,1,1,1,1,0,,,1,1,2,0,,,,,,1,1,0,,,,1,1,0,,,,1,2,2,2,2,2,0,,,,,,,,1/15/2009
"EA","EA40882",18,"BASKETBALL","FOOTBALL",,"MAKING MUSIC (MIXING)","PLAY DRUMS",,"MJM",1,1,1,1,2,2,0,,,1,2,2,1,2,1,0,,,0,,,,,,1,1,1,2,1,2,3,1,1,1,1,2,0,,,,,,,,10/15/2009
"EA","EA40909",18,"BASKETBALL",,,"CHESS",,,"MJM",1,0,1,0,,,,,,1,2,2,0,,,,,,0,,,,,,1,1,0,,,,3,2,1,1,1,2,0,,,,,,,,9/15/2009
"EA","EA40917",12,"BASKETBALL","FOOTBALL",,"PLAYING GAMES WITH SISTERS","RIDING MY BIKE",,"DKV",1,1,1,1,0,1,0,,,1,1,2,1,1,2,0,,,1,2,0,,,,1,2,1,1,1,1,2,0,1,1,2,2,1,3,3,2,3,3,9,,9/15/2002
"EA","EA40917",18,,,,"READING BOOKS","CRAFTS",,"LHM",0,,,,,,,,,1,2,2,1,1,2,0,,,1,1,0,,,,1,1,1,1,0,,2,1,1,1,2,2,1,9,3,3,2,3,9,,11/15/2008
"EA","EA40925",18,"FOOTBALL","BASEBALL","LACROSSE","CARDS","BOARD GAMES","SKATING","MJM",1,0,1,1,1,1,1,0,0,1,1,2,1,1,2,1,1,2,0,,,,,,1,2,1,2,1,2,3,1,2,2,2,2,1,2,2,3,3,2,3,3,5/15/2009
"EA","EA40958",12,"SOCCER","BASKETBALL",,"COLLECTING ROCKS AND MAKING JEWELRY","RIDING BIKES",,"JCM",1,1,1,1,2,2,0,,,1,1,2,1,2,2,0,,,1,2,0,,,,1,2,0,,,,3,2,2,2,2,2,1,3,2,3,3,3,9,,11/15/2002
"EA","EA40958",18,"SOCCER","BASKETBALL","VOLLEYBALL","POKER",,,"MJM",1,0,1,1,1,1,1,0,1,1,1,1,0,,,,,,0,,,,,,1,2,1,2,0,,3,0,1,2,2,2,0,,,,,,,,9/15/2009
"EA","EA40972",18,"BASKETBALL",,,"VIDEO GAMES",,,"LHM",1,2,2,0,,,,,,1,0,2,0,,,,,,0,,,,,,1,1,0,,,,3,1,1,2,1,2,1,3,2,3,2,9,,,2/15/2009
"EA","EA40986",12,"SOCCER","JUMP ROPE (DOUBLE DUTCH)","RUNNING","BOARD GAMES",,,"DKV",1,0,0,1,2,1,1,0,0,1,1,1,0,,,,,,0,,,,,,1,1,1,1,1,1,2,0,1,1,1,1,1,2,2,0,2,2,9,,5/15/2003
"EA","EA40986",18,"BADMINTON",,,"BOOKS","MALL","PHONE","MJM",1,0,1,0,,,,,,1,0,1,1,1,1,1,1,1,0,,,,,,1,2,1,2,1,2,3,1,2,1,2,2,1,2,2,9,2,9,,,4/15/2009
"EA","EA40994",12,"BASKETBALL",,,"DANCING",,,"DKV",1,1,2,0,,,,,,1,2,2,0,,,,,,1,2,0,,,,1,1,0,,,,1,2,2,2,2,1,1,3,3,3,3,3,9,,4/15/2002
"EA","EA40994",18,"BASKETBALL","SOFTBALL","SOCCER","INTERNET SURFING","SHOPPING",,"APB",1,1,2,1,2,2,1,2,2,1,0,2,1,2,2,0,,,0,,,,,,1,1,1,1,0,,3,2,2,1,2,1,1,3,9,3,3,3,0,9,7/15/2009
"EA","EA41002",12,"SWIMMING",,,"READING BOOKS",,,"DKV",1,0,1,0,,,,,,1,2,1,0,,,,,,0,,,,,,1,1,1,1,0,,2,1,1,2,2,1,1,2,2,2,2,2,9,,12/15/2002
"EA","EA41002",18,,,,,,,"MJM",0,,,,,,,,,0,,,,,,,,,0,,,,,,1,2,0,,,,0,0,2,2,2,1,0,,,,,,,,12/15/2009
"EA","EA41010",12,"BASKETBALL",,,"MARCH",,,"JCM",1,1,1,0,,,,,,1,1,2,0,,,,,,1,2,0,,,,1,1,1,1,1,1,2,2,2,1,2,1,1,3,2,3,2,9,,,11/15/2002
"EA","EA41010",18,"DANCE","SWIMMING","SKATING","PHONE","EXCERCISE","RUNNING","MJM",1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,0,,,,1,2,1,2,1,2,3,2,2,1,2,2,1,9,9,3,9,3,3,3,5/15/2009
"EA","EA41047",18,"BASKETBALL","TENNIS",,"CARDS","WRITING",,"MJM",1,0,2,1,0,1,0,,,1,2,2,1,2,2,0,,,0,,,,,,0,,,,,,3,1,2,1,2,2,1,3,3,3,2,9,,,3/15/2009
"EA","EA41051",18,,,,"READING","WRITING",,"MJM",0,,,,,,,,,1,2,2,1,2,2,0,,,1,0,1,0,0,,0,,,,,,2,2,1,1,1,2,1,9,3,9,3,2,3,9,2/15/2009
"EA","EA41068",12,"BASKETBALL","BIKE RIDING",,"DANCE",,,"SCH",1,1,1,1,2,2,0,,,1,1,1,0,,,,,,0,,,,,,1,1,1,1,0,,3,2,2,2,1,2,1,2,2,3,2,1,3,,1/15/2003
"EA","EA41079",18,"ROLLER SKATING","SWIMMING",,"SHOPPING",,,"LHM",1,2,1,1,2,1,0,,,1,2,2,0,,,,,,0,,,,,,1,0,0,,,,2,2,2,1,2,1,0,,,,,,,,11/15/2008
"EA","EA41084",12,"BASKETBALL",,,"DOING HAIR - BRAIDING HAIR ETC.","PLAYING CARDS",,"DKV",1,0,1,0,,,,,,1,1,1,1,0,1,0,,,0,,,,,,1,1,1,0,1,1,2,1,1,2,1,2,1,2,1,3,3,9,,,1/15/2003
"EA","EA41084",18,,,,,,,"M S",0,,,,,,,,,0,,,,,,,,,0,,,,,,1,2,0,,,,1,0,1,2,2,2,1,2,9,9,9,2,2,9,3/15/2008
"EA","EA41096",12,"BASKETBALL","FOOTBALL","BASEBALL",,,,"DKV",1,2,2,1,2,2,1,1,1,0,,,,,,,,,0,,,,,,0,,,,,,3,2,2,1,2,2,1,3,2,0,3,,,,5/15/2001
"EA","EA41096",18,"BASKETBALL","FOOTBALL","BOXING","COOKING","PRODUCING MUSIC","SWIMMING","MJM",1,0,2,1,0,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,0,,,,1,2,1,2,0,,2,2,2,2,2,2,0,,,,,,,,9/15/2008
"EA","EA41111",12,"FOOTBALL","BASKETBALL",,"PLAYING GAMES (PLAYSTATION II)","DRAWING",,"SCH",1,0,1,1,1,1,0,,,1,2,2,1,1,2,0,,,0,,,,,,1,1,1,2,0,,2,2,1,1,1,2,1,3,3,3,3,0,,,3/15/2002
"EA","EA41111",18,"SKATEBOARDING",,,"WRITING SONGS","SHOPPING","READING TECH BLOGS","MJM",1,0,0,0,,,,,,1,2,2,1,1,2,1,2,1,1,2,0,,,,1,0,1,0,0,,2,2,2,0,2,2,0,,,,,,,,6/15/2008
"EA","EA41124",12,"LACROSSE","WRESTLING",,"PLAYSTATION 2",,,"SCH",1,2,2,1,1,1,0,,,1,1,2,0,,,,,,1,1,0,,,,1,2,1,1,0,,3,2,2,2,2,0,1,3,2,3,3,9,,,1/15/2003
"EA","EA41124",18,"WRESTLING",,,"SPENDING TIME WITH DAUGHTER","DRAWING",,"MJM",1,2,2,0,,,,,,1,2,1,1,2,2,0,,,0,,,,,,1,1,0,,,,3,1,2,2,2,1,1,9,2,9,2,3,3,9,4/15/2009
"EA","EA41152",12,"SOFTBALL",,,"VIDEO GAMES","PLAYING OUTSIDE WITH MY FRIENDS",,"DKV",1,0,1,0,,,,,,1,2,2,1,1,1,0,,,0,,,,,,1,1,1,1,0,,3,2,1,1,1,1,1,3,3,3,3,3,9,,9/15/2002
"EA","EA41152",18,,,,"BOOKS","COMPUTERS",,"MJM",0,,,,,,,,,1,2,2,1,2,2,0,,,0,,,,,,1,1,1,1,0,,3,0,1,1,1,1,0,,,,,,,,9/15/2009
