"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"SW","SW21739","1","1","0","2","0","3","3","3","2","1","0","2","0","1","2","2","2","2","2","3","3",18
"SW","SW21746","2","2","2","0","0","0","3","2","2","3","0","0","1","2","2","2","2","0","2","0","0",18
"SW","SW21752","2","2","2","1","0","0","3","2","2","2","0","1","1","1","2","2","2","1","2","2","2",18
"SW","SW21778","1","2","2","1","0","0","3","1","1","1","0","1","1","1","2","2","2","1","1","2","2",18
"SW","SW21780","3","2","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","2",18
"SW","SW21800","2","1","1","1","0","1","2","3","2","1","0","0","0","1","2","3","1","0","2","3","3",18
"SW","SW21837","0","0","0","2","0","0","2","0","1","0","0","0","0","0","0","1","0","1","1","2","2",18
"SW","SW21898","3","2","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW21917","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",18
"SW","SW21933","2","2","1","1","0","0","3","2","2","2","0","0","0","2","2","2","1","0","1","3","2",18
"SW","SW21986",,,,,,,,,,,,,,,,,,,,,"3",18
"SW","SW22019","2","2","2","0","0","0","3","2","2","2","0","1","0","2","2","2","2","0","1","3","3",18
"SW","SW22031","2","2","2","1","0","0","3","2","2","2","0","0","0","1","2","3","1","0","2","3","3",18
"SW","SW22043","0","0","0","0","0","2","3","3","3","3","0","0","0","3","3","3","3","0","2","3","3",18
"SW","SW22070","2","2","2","2","0","0","0","1","1","2","1","1","1","2","2","2","2","0","2","3","1",18
"SW","SW22128","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW22189","2","2","1","2","1","1","3","2","1","1","0","0","0","2","2","2","1","0","2","3","3",18
"SW","SW22191","2","2","2","2","0","0","3","2","2","2","0","0","0","2","2","2","3","0","2","0","3",18
"SW","SW22211","0","0","0","2","0","0","2","0","0","0","0","0","0","1","1","1","1","0","0","2","3",18
"SW","SW22224","2","2","2","0","0","0","2","3","3","3","0","0","0","2","2","3","2","0","3","3","3",18
"SW","SW22246","2","2","2","2","1","1","2","2","2","2","0","0","0","3","3","3","2","1","2","2","2",18
"SW","SW22267","2","2","1","2","0","1","2","1","1","1","1","1","1","1","2","2","1","1","1","2","2",18
"SW","SW22295","2","2","2","0","0","0","2","2","2","2","0","0","0","2","2","2","2","0","2","3","2",18
"SW","SW22300","2","2","2","2","1","1","2","1","2","2","2","1","1","1","2","2","0","1","2","0","2",18
"SW","SW22313","1","3","3","0","0","0","3","2","3","3","0","0","0","2","3","3","2","0","3","3","3",18
"SW","SW22349","1","1","1","1","1","1","3","2","2","1","1","3","1","2","2","1","1","0","1","2","2",18
"SW","SW22398","2","2","2","0","0","0","3","2","3","3","0","0","0","2","2","2","2","0","3","3","3",18
"SW","SW22402","2","2","2","0","0","0","3","2","2","2","0","0","0","2","2","2","3","0","3","3","2",18
"SW","SW22410","3","3","2","1","1","1","2","3","3","2","1","1","0","3","3","3","3","1","2","3","3",18
"SW","SW22447","1","1","2","1","0","0","3","1","2","2","0","0","0","2","2","2","2","0","2","3","3",18
"SW","SW22468","2","2","2","0","0","0","3","2","2","2","0","0","0","2","2","2","2","0","2","3","3",18
"SW","SW22484","2","2","2","1","0","0","3","2","2","2","0","0","0","2","2","2","2","0","2","3","3",18
"SW","SW22509","2","2","1","1","1","1","2","2","2","2","1","0","0","2","2","3","2","1","2","2","2",18
"SW","SW22517","2","2","2","1","1","1","2","2","2","2","1","1","1","1","2","2","2","1","3","2","2",18
"SW","SW22525","3","1","2","0","0","0","3","3","3","3","0","3","3","2","3","3","3","0","3","2","0",18
