"id","visit","center","kga1","kga2a","kga3a","kga4a","kga5","kga6","kga7","kga8","kga0","kga2","kga3","kga4","kga9"
"SO10796",8,"SO","PLAY ON THIS GOLF CART, SUPER NINTENDO, RIDE BIKE AND SWIM",,,,"WHEN HE COMES HOME & TELLS ME THAT HE'S TRYING IN SCHOOL & HE LISTENS TO ME","HE'S GOOD, HE MINDS, I JUST LOVE HIM","LOVES HELPING HIS DADDY","BBN",1,0,0,0,1/15/1995
"SO10804",8,"SO","WATHC TV, RIDE BIKE, READS BOOKS","NO DESCRIPTION GIVEN",,,"LEARNING RIGHT FROM WRONG","WHEN SHE'S DONG THE RIGHT THING","A LITTLE BIT OF EVERYTHING","MPC",1,1,0,0,4/15/1995
"SO10812",8,"SO","RIDE BIKE AND PLAY WITH TOYS",,,,"INDEPENDENT. CAN DO HER BED.","HER CONCERN FOR ME AND MY HEALTH","HELPING KEEP THE HOUSE","ABW",1,0,0,0,1/15/1995
"SO10820",8,"SO","============================================================================","============================================================================","============================================================================","============================================================================","HEALTHY, HAPPY, LOVING","HIS GOOD LOOKS, EVERYTHING","EATING WHAT IS GIVEN TO HIM","ABW",1,,,,12/15/1994
"SO10845",8,"SO","READ, PLAY NINTENDO, RIDE HER BIKE",,,,"THE WAY SHE RELATES TO PEOPLE","THE WAY SHE TALKS, EMPATHIZES; SENSES WHEN SOMETHING IS WRONG","READING","ABW",1,0,0,0,1/15/1995
"SO10853",8,"SO","PLAY FOOTBALL, GO TO BOYS' CLUB","PLAY HOUSE; BIG BROTHER","TALKS TO IMAGINARY FRIEND WHEN PLAYING BY HIMSELF",,"HE DOES HIS SCHOOL WORK WELL","HIS MANNERS; HOW WELL HE BEHAVES","MATH; KEEPING CLEAN","ABW",1,1,1,0,12/15/1994
"SO10881",8,"SO","ROLLER BLADE/BIKES","OUT DOOR GAMES",,,"COMES THRU ALL TROUBLES - SEEMS FAIRLY ADJUSTED","GOOD KID","PHUSICAL ACTIVITIES","DL",1,1,0,0,3/15/1995
"SO10899",8,"SO","GOING ROLLER SKATING, MOVIES, PLAY",,,,"HE DOES GOOD IN SCHOOL","HE DON'T TALK BACK","MATH AND ENGLISH","BBN",1,0,0,0,2/15/1995
"SO10905",8,"SO","PLAY JUMP ROPE, WRESTING, OUTSIDE ACTIVITIES","DOCTOR AND SCHOOL",,,"LEARNING TO READ BETTER - NOW SHE'S A GOOD READER - RESPONSIBLE FOR HER AGE","TALK TO YOU ABOUT THINGS IN DETAILS & QUESTIONS YOU TO GET HER ANSWERS","CHECKERS","DNP",1,1,0,0,5/15/1995
"SO10918",8,"SO","PLAY FOOTBALL BE OUTSIDE PLAY NINTENDO","POWER RANGERS",,,"HE GETS 100 ON HIS SPELLING TEST","THE WAY HE SHARES WITH HIS SISTERS","RIDING HIS BIKE, READING","LTP",1,2,0,0,2/15/1995
