"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"EA","EA41333",12,1,37,29,148,505,97,497,81,,
"EA","EA41333",16,,,,193,504,82,,,1,36
"EA","EA41361",12,1,48,44,146,527,124,525,122,,
"EA","EA41361",16,,,,197,537,120,,,1,54
"EA","EA41372",12,1,24,29,150,475,64,497,81,,
"EA","EA41372",16,,,,201,497,73,,,1,32
"EA","EA41386",12,1,38,34,146,506,99,508,94,,
"EA","EA41386",16,,,,192,527,108,,,1,48
"EA","EA41394",12,1,29,31,143,486,77,500,90,,
"EA","EA41394",16,,,,199,489,69,,,1,30
"EA","EA41427",12,1,34,37,161,501,84,513.3,97,,
"EA","EA41431",16,,,,204,473,50,,,1,22
"EA","EA41443",16,,,,195,509,88,,,1,39
"EA","EA43011",12,1,36,34,151,504,94,508,94,,
"EA","EA43011",16,,,,191,504,84,,,1,36
"EA","EA43024",12,1,33,33,147,500,87,506,92,,
"EA","EA43024",16,,,,189,504,84,,,1,36
"EA","EA43039",12,1,32,37,159,497,80,513.3,97,,
"EA","EA43052",12,1,34,43,149,501,89,522,119,,
"EA","EA43052",16,,,,193,502,80,,,1,35
"EA","EA43078",12,1,33,37,150,500,87,513.3,103,,
"EA","EA43078",16,,,,194,489,69,,,1,30
"EA","EA43095",12,1,34,31,147,501,89,500,86,,
"EA","EA43095",16,,,,190,505,86,,,1,37
"EA","EA43104",16,,,,193,506,86,,,1,38
"EA","EA43112",12,1,30,34,150,489,79,508,94,,
"EA","EA43112",16,,,,197,497,73,,,1,32
"EA","EA43138",12,1,32,29,157,497,80,497,76,,
"EA","EA43138",16,,,,191,448,,,,1,15
"EA","EA43145",12,1,31,35,151,491,82,509,97,,
"EA","EA43145",16,,,,196,520,101,,,1,45
"EA","EA43153",12,1,34,33,155,501,89,506,92,,
"EA","EA43166",12,1,42,38,153,514,109,514,106,,
"EA","EA43166",16,,,,189,520,104,,,1,45
"EA","EA43177",16,,,,197,,,,,1,
"EA","EA43181",12,1,34,29,156,501,84,497,76,,
"EA","EA43181",16,,,,197,509,88,,,1,39
"EA","EA43206",16,,,,202,489,69,,,1,30
"EA","EA43255",12,1,23,33,146,474,62,506,92,,
"EA","EA43255",16,,,,195,482,63,,,1,27
"EA","EA43264",12,1,36,27,145,504,94,494,75,,
"EA","EA43264",16,,,,189,512,95,,,1,41
"EA","EA43270",12,1,45,32,146,520,117,502,89,,
"EA","EA43270",16,,,,191,548,129,,,1,56
"EA","EA43292",16,,,,189,502,82,,,1,35
"EA","EA43334",12,1,36,34,145,504,94,508,94,,
"EA","EA43334",16,,,,192,520,101,,,1,45
"EA","EA43357",12,1,29,27,151,486,77,494,75,,
"EA","EA43357",16,,,,193,502,80,,,1,35
"EA","EA43390",12,1,29,28,154,486,77,495,78,,
"EA","EA43390",16,,,,196,486,67,,,1,29
"EA","EA43459",12,1,35,26,149,502,92,493,72,,
"EA","EA43459",16,,,,188,514,98,,,1,42
"EA","EA43493",12,1,28,21,153,483,74,478,58,,
"EA","EA43522",12,1,28,26,149,483,74,493,72,,
"EA","EA43522",16,,,,191,491,73,,,1,31
"EA","EA43548",12,1,48,39,144,527,124,515,108,,
"EA","EA43548",16,,,,194,504,82,,,1,36
"EA","EA43550",12,1,24,31,145,475,64,500,86,,
"EA","EA43550",16,,,,188,476,59,,,1,25
"EA","EA43569",12,1,34,27,151,501,89,494,75,,
"EA","EA43569",16,,,,189,502,82,,,1,35
"EA","EA43575",12,1,36,36,153,504,94,511,100,,
"EA","EA43583",12,1,35,41,147,502,92,520.3,114,,
"EA","EA43597",16,,,,200,476,58,,,1,25
"EA","EA43623",12,1,41,33,153,512,107,506,92,,
"EA","EA43635",12,1,42,36,151,514,109,511,100,,
"EA","EA43635",16,,,,203,514,95,,,1,42
"EA","EA43651",12,1,36,24,155,504,94,487,67,,
"EA","EA43684",12,1,36,38,149,504,94,514,106,,
