"center","id","visit","NRIA1A","NRIA1B","NRIA1C","NRIA2A","NRIA2B","NRIA2C","NRIA3","NRIA3A","NRIA3B","NRIA3C","NRIA3D","NRIA4A","NRIA4B","NRIA4C","NRIA4D","NRIA4E","NRIA4F","NRIA5A","NRIA5B","NRIA5C","NRIA5D","NRIA5E","NRIA5F","NRIA6A","NRIA6B","NRIA6C","NRIA6D","NRIA6E","NRIA6F","NRIA7A","NRIA7B","NRIA7C","NRIA7D","NRIA7E","NRIA7F","NRIA8A","NRIA8B","NRIA8C","NRIA8D","NRIA8E","NRIA8F","NRIA9A","NRIA9B","NRIA9C","NRIA9D","NRIA9E","NRIA9F","NRIA10A","NRIA10B","NRIA10C","NRIA10D","NRIA10E","NRIA10F","NRIA11A","NRIA11B","NRIA11C","NRIA11D","NRIA11E","NRIA11F","NRIA12A","NRIA12B","NRIA12C","NRIA12D","NRIA12E","NRIA12F","NRIA13A","NRIA13B","NRIA13C","NRIA13D","NRIA13E","NRIA13F","NRIA14A","NRIA14B","NRIA14C","NRIA14D","NRIA14E","NRIA14F","NRIA15A","NRIA15B","NRIA15C","NRIA15D","NRIA15E","NRIA15F"
"MW","MW02283",16,3,4,0,3,4,1,0,,,,,3,,2,,,,2,,2,,,,3,,3,,,,5,,3,,,,3,,3,,,,1,,3,,,,5,,1,,,,3,,3,,,,3,,2,,,,3,,2,,,,4,,3,,,,5,,1,,,
"MW","MW02311",16,3,4,0,3,4,0,1,1,3,4,0,4,,4,,4,,2,,2,,5,,4,,3,,1,,3,,3,,3,,2,,3,,3,,3,,2,,5,,3,,3,,2,,4,,4,,3,,3,,3,,3,,2,,1,,3,,4,,4,,3,,5,,1,,1,
"MW","MW02324",16,3,4,0,,,,0,,,,,,2,,,,,,2,,,,,,4,,,,,,4,,,,,,3,,,,,,2,,,,,,3,,,,,,4,,,,,,3,,,,,,2,,,,,,4,,,,,,3,,,,
"MW","MW02339",16,3,4,1,3,4,1,0,,,,,4,,2,,,,4,,2,,,,5,,5,,,,4,,3,,,,5,,3,,,,3,,3,,,,3,,3,,,,5,,5,,,,4,,3,,,,1,,1,,,,5,,5,,,,3,,3,,,
"MW","MW02367",16,3,4,0,,,,0,,,,,2,,,,,,1,,,,,,4,,,,,,5,,,,,,4,,,,,,3,,,,,,5,,,,,,5,,,,,,2,,,,,,1,,,,,,5,,,,,,5,,,,,
"MW","MW02378",16,3,4,0,,,,1,2,3,2,0,,4,,,,3,,1,,,,1,,4,,,,3,,4,,,,4,,5,,,,3,,3,,,,3,,4,,,,3,,5,,,,3,,4,,,,3,,1,,,,1,,4,,,,4,,5,,,,4
"MW","MW02380",16,3,4,1,,,,1,2,2,4,0,,4,,,,5,,1,,,,3,,3,,,,5,,3,,,,5,,5,,,,5,,4,,,,4,,3,,,,5,,3,,,,5,,5,,,,5,,3,,,,3,,4,,,,4,,3,,,,5
"MW","MW02400",16,3,2,1,3,2,1,1,2,3,2,1,,2,,3,,4,,1,,1,,2,,2,,2,,2,,2,,2,,3,,2,,3,,2,,2,,3,,3,,2,,3,,3,,2,,3,,3,,1,,2,,4,,2,,2,,4,,1,,4,,4,,2,,3,,4
"MW","MW02465",16,3,4,0,4,2,0,1,2,3,4,1,,3,,3,,3,,1,,1,,3,,3,,3,,5,,4,,3,,5,,3,,3,,3,,1,,1,,3,,1,,1,,5,,3,,3,,4,,3,,3,,3,,3,,1,,3,,4,,3,,5,,3,,3,,5
"MW","MW02476",16,3,4,1,3,4,0,1,2,3,4,0,,4,,3,,3,,1,,2,,3,,3,,3,,3,,2,,3,,2,,1,,1,,3,,1,,1,,2,,1,,1,,3,,3,,3,,3,,4,,3,,4,,1,,2,,3,,3,,3,,3,,1,,2,,2
"MW","MW02482",16,3,4,1,4,4,0,1,2,3,2,0,,4,,3,,4,,2,,3,,4,,5,,5,,4,,5,,5,,5,,2,,2,,4,,3,,1,,3,,5,,5,,3,,4,,4,,5,,4,,3,,5,,3,,1,,5,,5,,4,,5,,3,,3,,2
"MW","MW02531",16,2,3,0,3,2,0,1,2,3,2,1,,4,,3,,4,,2,,1,,3,,4,,4,,4,,3,,3,,4,,3,,2,,4,,1,,2,,3,,2,,1,,3,,4,,3,,4,,3,,2,,4,,2,,1,,3,,4,,3,,4,,3,,3,,4
"MW","MW02543",16,3,4,1,,,,1,2,3,4,1,,3,,,,4,,2,,,,2,,4,,,,4,,3,,,,5,,4,,,,4,,2,,,,2,,3,,,,3,,4,,,,4,,3,,,,5,,2,,,,2,,4,,,,4,,3,,,,5
"MW","MW02570",16,3,4,1,3,4,1,0,,,,,2,,2,,,,1,,1,,,,5,,5,,,,5,,4,,,,5,,4,,,,5,,3,,,,5,,3,,,,4,,4,,,,5,,3,,,,1,,4,,,,4,,4,,,,4,,3,,,
"MW","MW02592",16,3,4,1,3,2,1,1,1,3,4,0,4,,3,,3,,2,,2,,1,,4,,3,,4,,3,,3,,2,,4,,3,,3,,3,,2,,2,,4,,2,,5,,3,,4,,4,,3,,2,,3,,2,,1,,2,,3,,4,,4,,3,,3,,1,
"MW","MW02615",16,3,4,1,,,,1,1,3,4,0,1,,,,2,,3,,,,3,,3,,,,5,,4,,,,4,,4,,,,3,,4,,,,4,,4,,,,3,,2,,,,4,,3,,,,3,,5,,,,5,,3,,,,3,,4,,,,3,
"MW","MW02663",16,3,4,1,3,2,0,0,,,,,5,,3,,,,2,,1,,,,5,,5,,,,5,,4,,,,3,,3,,,,4,,1,,,,5,,5,,,,5,,5,,,,5,,3,,,,4,,4,,,,5,,5,,,,5,,4,,,
"MW","MW02674",16,3,4,1,3,4,1,0,,,,,,3,,2,,,,3,,1,,,,3,,3,,,,2,,2,,,,3,,3,,,,3,,3,,,,3,,4,,,,3,,4,,,,5,,3,,,,3,,3,,,,3,,4,,,,3,,4,,
"MW","MW02689",16,3,2,0,3,2,0,1,1,3,2,1,5,,5,,5,,1,,3,,1,,5,,5,,5,,5,,3,,3,,5,,4,,5,,4,,4,,4,,5,,1,,5,,5,,3,,4,,5,,4,,5,,1,,3,,1,,5,,5,,5,,5,,1,,5,
"MW","MW02702",16,3,4,1,3,4,1,1,2,3,4,1,,4,,2,,4,,3,,1,,3,,4,,4,,4,,4,,3,,4,,4,,3,,4,,3,,3,,3,,5,,4,,5,,4,,4,,5,,4,,3,,5,,3,,2,,4,,5,,5,,5,,5,,5,,5
"MW","MW02710",16,3,4,0,3,4,0,0,,,,,2,,2,,,,3,,2,,,,5,,5,,,,5,,5,,,,2,,3,,,,3,,3,,,,5,,5,,,,5,,5,,,,2,,3,,,,2,,2,,,,4,,5,,,,4,,4,,,
"MW","MW02723",16,3,4,1,3,2,1,1,1,3,2,1,3,,4,,4,,2,,3,,1,,4,,4,,5,,5,,4,,5,,5,,5,,5,,1,,3,,3,,5,,5,,5,,5,,4,,5,,5,,3,,3,,3,,3,,2,,5,,4,,5,,5,,5,,5,
"MW","MW02735",16,3,4,1,3,4,1,1,2,3,2,1,,4,,3,,3,,1,,1,,2,,5,,4,,5,,5,,4,,4,,5,,4,,5,,1,,1,,2,,5,,4,,5,,5,,4,,4,,5,,3,,4,,1,,3,,2,,5,,4,,4,,5,,3,,4
"MW","MW02751",16,3,4,1,3,4,0,1,1,3,2,1,4,,3,,4,,3,,3,,3,,4,,4,,4,,4,,3,,4,,4,,3,,4,,3,,3,,3,,4,,3,,4,,4,,4,,4,,4,,3,,4,,3,,1,,3,,4,,4,,4,,4,,3,,3,
"MW","MW02768",16,3,2,0,,,,0,,,,,5,,,,,,3,,,,,,5,,,,,,5,,,,,,4,,,,,,3,,,,,,5,,,,,,5,,,,,,3,,,,,,3,,,,,,4,,,,,,3,,,,,
"MW","MW02779",16,3,4,1,3,4,1,1,2,3,1,0,,2,,2,,3,,1,,1,,2,,5,,5,,5,,5,,5,,5,,4,,4,,5,,3,,3,,3,,3,,3,,4,,4,,4,,5,,1,,3,,3,,1,,2,,2,,4,,4,,5,,3,,3,,4
"MW","MW02784",16,3,4,0,,,,1,2,3,4,0,,4,,,,3,,1,,,,4,,3,,,,3,,5,,,,3,,5,,,,3,,3,,,,3,,1,,,,1,,4,,,,3,,1,,,,3,,1,,,,1,,4,,,,3,,3,,,,3
"MW","MW02796",16,3,4,1,3,4,1,1,1,3,4,1,5,,3,,5,,3,,5,,5,,5,,5,,5,,5,,1,,5,,5,,5,,5,,4,,3,,3,,5,,3,,1,,4,,4,,4,,5,,5,,5,,5,,5,,5,,4,,4,,5,,5,,1,,5,
"MW","MW02804",16,3,4,0,3,4,0,1,1,3,4,0,3,,2,,3,,2,,2,,3,,5,,2,,4,,5,,2,,5,,5,,5,,5,,2,,2,,2,,5,,2,,5,,5,,4,,5,,4,,2,,4,,2,,2,,3,,5,,5,,5,,5,,2,,5,
"MW","MW02812",16,3,4,1,3,2,1,0,,,,,,3,,3,,,,1,,1,,,,4,,4,,,,5,,3,,,,5,,3,,,,3,,3,,,,3,,5,,,,4,,4,,,,4,,3,,,,3,,3,,,,4,,4,,,,3,,3,,
"MW","MW02845",16,3,4,1,3,4,1,1,1,3,4,0,3,,4,,4,,2,,1,,5,,4,,4,,3,,4,,3,,5,,4,,4,,4,,3,,3,,3,,3,,2,,4,,4,,4,,4,,5,,5,,5,,3,,3,,4,,5,,5,,5,,3,,2,,3,
"MW","MW02853",16,3,4,1,3,3,1,1,1,3,4,0,4,,3,,4,,2,,4,,4,,4,,3,,5,,5,,3,,5,,3,,3,,3,,2,,2,,3,,5,,3,,4,,4,,4,,5,,3,,2,,5,,3,,3,,4,,4,,3,,5,,5,,1,,5,
"MW","MW02866",16,3,4,1,3,4,1,0,,,,,,3,,2,,,,3,,1,,,,4,,4,,,,3,,1,,,,1,,3,,,,4,,1,,,,1,,1,,,,4,,4,,,,4,,1,,,,4,,1,,,,4,,4,,,,1,,1,,
"MW","MW02877",16,3,4,1,,,,1,2,3,1,0,,2,,,,4,,1,,,,1,,2,,,,2,,1,,,,3,,3,,,,3,,1,,,,3,,1,,,,1,,3,,,,3,,3,,,,3,,1,,,,3,,2,,,,3,,1,,,,1
"MW","MW02881",16,3,4,1,3,4,1,0,,,,,,4,,4,,,,3,,1,,,,4,,4,,,,4,,5,,,,3,,5,,,,3,,1,,,,3,,5,,,,5,,5,,,,5,,3,,,,3,,1,,,,4,,5,,,,3,,5,,
"MW","MW02899",16,3,4,1,4,4,1,0,,,,,5,,2,,,,2,,2,,,,5,,5,,,,5,,4,,,,5,,5,,,,2,,2,,,,5,,4,,,,5,,5,,,,5,,4,,,,2,,2,,,,5,,5,,,,5,,5,,,
"MW","MW02905",16,3,4,1,4,4,0,1,1,4,2,1,5,,3,,5,,3,,1,,3,,5,,4,,4,,5,,5,,3,,5,,5,,5,,1,,1,,3,,5,,3,,3,,4,,3,,5,,4,,3,,5,,1,,1,,3,,5,,5,,5,,5,,3,,3,
"MW","MW02926",16,2,4,1,2,4,1,1,1,3,3,0,4,,4,,5,,4,,1,,5,,2,,2,,5,,5,,3,,5,,3,,3,,5,,5,,1,,5,,3,,1,,5,,3,,5,,5,,3,,3,,3,,5,,1,,5,,3,,3,,5,,2,,2,,5,
"MW","MW02932",16,3,4,0,3,4,1,1,1,3,4,0,4,,3,,4,,3,,2,,2,,4,,4,,5,,3,,3,,2,,4,,4,,4,,2,,4,,3,,5,,5,,4,,4,,4,,4,,3,,2,,4,,3,,3,,2,,4,,3,,4,,4,,3,,2,
"MW","MW02959",16,3,1,1,2,2,1,0,,,,,3,,3,,,,1,,3,,,,5,,5,,,,5,,1,,,,5,,3,,,,1,,3,,,,5,,3,,,,5,,5,,,,2,,3,,,,1,,1,,,,5,,5,,,,3,,3,,,
"MW","MW02960",16,3,4,1,,,,0,,,,,2,,,,,,2,,,,,,5,,,,,,4,,,,,,3,,,,,,1,,,,,,1,,,,,,5,,,,,,1,,,,,,2,,,,,,4,,,,,,2,,,,,
"MW","MW02971",16,3,4,0,,,,0,,,,,,3,,,,,,3,,,,,,2,,,,,,3,,,,,,4,,,,,,3,,,,,,1,,,,,,1,,,,,,4,,,,,,3,,,,,,3,,,,,,1,,,,
"MW","MW02987",16,3,3,1,3,3,1,1,2,3,2,0,,2,,1,,2,,1,,2,,3,,4,,3,,4,,5,,4,,4,,3,,3,,4,,3,,2,,1,,5,,3,,4,,3,,3,,4,,1,,1,,4,,1,,2,,3,,4,,5,,3,,5,,3,,4
"MW","MW02993",16,3,2,1,,,,0,,,,,,5,,,,,,2,,,,,,4,,,,,,4,,,,,,5,,,,,,2,,,,,,4,,,,,,4,,,,,,5,,,,,,2,,,,,,4,,,,,,4,,,,
"MW","MW03005",16,3,4,1,3,4,1,1,1,3,2,0,5,,3,,5,,1,,2,,1,,5,,4,,5,,5,,3,,5,,4,,4,,5,,1,,3,,1,,1,,1,,1,,5,,3,,5,,5,,1,,5,,1,,2,,2,,4,,4,,5,,1,,1,,1,
"MW","MW03026",16,3,4,0,,,,0,,,,,,3,,,,,,1,,,,,,4,,,,,,4,,,,,,4,,,,,,2,,,,,,4,,,,,,4,,,,,,3,,,,,,1,,,,,,4,,,,,,4,,,,
"MW","MW03032",16,3,4,0,3,4,1,0,,,,,,4,,3,,,,1,,1,,,,4,,4,,,,3,,1,,,,5,,3,,,,4,,4,,,,3,,1,,,,4,,5,,,,3,,4,,,,1,,1,,,,4,,4,,,,1,,1,,
"MW","MW03044",16,3,4,1,4,4,1,0,,,,,4,,4,,,,1,,1,,,,4,,4,,,,5,,3,,,,5,,5,,,,1,,1,,,,4,,3,,,,4,,4,,,,3,,3,,,,1,,1,,,,4,,4,,,,5,,5,,,
"MW","MW03060",16,3,4,1,3,4,0,0,,,,,2,,2,,,,3,,4,,,,3,,3,,,,2,,2,,,,3,,3,,,,4,,4,,,,3,,3,,,,3,,3,,,,3,,1,,,,4,,3,,,,3,,2,,,,2,,1,,,
"MW","MW03071",16,3,4,0,3,4,0,1,1,3,3,0,2,,3,,5,,1,,1,,3,,3,,5,,5,,2,,3,,5,,3,,3,,5,,1,,1,,2,,2,,4,,5,,5,,3,,5,,2,,2,,5,,1,,1,,2,,4,,5,,5,,3,,3,,5,
"MW","MW03093",16,3,4,1,3,4,1,1,1,3,4,1,3,,2,,4,,2,,2,,2,,4,,3,,5,,4,,3,,5,,3,,2,,4,,3,,3,,2,,4,,2,,4,,4,,4,,5,,3,,2,,5,,3,,3,,2,,4,,3,,5,,4,,2,,5,
"MW","MW03119",16,3,4,0,3,4,0,1,1,3,3,1,1,,1,,4,,1,,1,,1,,4,,4,,4,,5,,3,,3,,1,,1,,1,,3,,1,,3,,1,,1,,1,,4,,3,,4,,1,,1,,5,,1,,1,,1,,5,,3,,4,,3,,1,,3,
"MW","MW03131",16,3,3,1,3,3,0,1,2,3,4,0,,4,,4,,4,,2,,2,,1,,4,,4,,5,,3,,3,,5,,3,,4,,4,,2,,2,,2,,2,,2,,2,,4,,4,,5,,3,,3,,3,,2,,2,,2,,4,,4,,5,,3,,3,,5
"MW","MW03155",16,3,4,0,3,3,1,1,2,3,1,1,,4,,4,,4,,2,,2,,2,,4,,4,,4,,4,,3,,4,,4,,4,,2,,2,,4,,4,,4,,2,,4,,4,,4,,4,,4,,4,,5,,2,,2,,2,,5,,4,,4,,4,,3,,3
"MW","MW03170",16,3,4,0,3,4,0,0,,,,,,3,,2,,,,3,,1,,,,4,,4,,,,5,,3,,,,3,,2,,,,4,,3,,,,5,,3,,,,4,,4,,,,3,,3,,,,5,,2,,,,3,,3,,,,3,,3,,
"MW","MW03188",16,3,4,1,3,4,1,0,,,,,,4,,5,,,,3,,4,,,,4,,4,,,,4,,5,,,,5,,4,,,,3,,5,,,,4,,2,,,,3,,4,,,,4,,3,,,,3,,4,,,,4,,4,,,,4,,5,,
"MW","MW03192",16,3,4,1,3,4,0,1,1,3,4,0,4,,3,,4,,3,,3,,2,,4,,4,,5,,5,,5,,5,,4,,5,,5,,3,,3,,2,,5,,4,,5,,5,,5,,5,,4,,3,,5,,2,,2,,2,,5,,5,,5,,5,,4,,4,
"MW","MW03204",16,2,4,1,2,4,1,0,,,,,3,,2,,,,4,,1,,,,1,,4,,,,2,,1,,,,2,,5,,,,4,,2,,,,2,,1,,,,1,,4,,,,2,,1,,,,4,,1,,,,2,,4,,,,2,,2,,,
"MW","MW03212",16,3,4,1,3,4,1,1,1,4,1,1,4,,3,,4,,1,,1,,3,,5,,5,,5,,5,,3,,5,,5,,3,,5,,3,,3,,3,,4,,3,,4,,4,,4,,4,,4,,3,,5,,1,,1,,3,,5,,5,,5,,4,,3,,5,
"MW","MW03220",16,2,4,1,3,4,1,0,,,,,,2,,2,,,,1,,1,,,,1,,2,,,,1,,3,,,,3,,3,,,,1,,4,,,,4,,4,,,,2,,2,,,,1,,3,,,,1,,3,,,,4,,3,,,,1,,3,,
"MW","MW03245",16,3,1,1,,,,0,,,,,,2,,,,,,3,,,,,,3,,,,,,1,,,,,,3,,,,,,2,,,,,,1,,,,,,4,,,,,,1,,,,,,3,,,,,,2,,,,,,1,,,,
"MW","MW03253",16,3,4,0,3,4,1,0,,,,,,3,,4,,,,2,,2,,,,4,,4,,,,4,,3,,,,3,,3,,,,2,,3,,,,3,,3,,,,4,,4,,,,4,,4,,,,2,,2,,,,4,,4,,,,3,,3,,
"NW","NW30020",16,3,4,0,3,4,1,0,,,,,,4,,4,,,,2,,1,,,,4,,4,,,,5,,4,,,,5,,4,,,,1,,1,,,,4,,2,,,,4,,4,,,,5,,4,,,,1,,2,,,,4,,4,,,,4,,2,,
"NW","NW30045",16,3,4,1,3,4,1,0,,,,,3,,4,,,,4,,2,,,,4,,5,,,,5,,5,,,,5,,5,,,,3,,2,,,,5,,5,,,,4,,5,,,,3,,4,,,,3,,2,,,,4,,5,,,,5,,5,,,
"NW","NW30053",16,3,4,0,5,3,0,0,,,,,4,,4,,,,1,,5,,,,4,,3,,,,5,,5,,,,5,,5,,,,1,,5,,,,5,,2,,,,5,,3,,,,4,,3,,,,1,,4,,,,5,,4,,,,5,,5,,,
"NW","NW30066",16,3,4,1,3,4,1,1,2,3,4,1,,4,,3,,4,,3,,1,,1,,4,,4,,5,,4,,4,,5,,4,,3,,4,,3,,1,,3,,3,,3,,4,,3,,4,,5,,4,,3,,4,,3,,3,,2,,4,,4,,5,,3,,3,,4
"NW","NW30077",16,3,4,1,3,3,1,0,,,,,4,,2,,,,1,,1,,,,5,,4,,,,5,,3,,,,5,,3,,,,2,,2,,,,5,,1,,,,5,,4,,,,4,,2,,,,1,,1,,,,5,,4,,,,5,,2,,,
"NW","NW30081",16,3,2,1,3,2,1,0,,,,,,3,,2,,,,3,,4,,,,1,,2,,,,2,,4,,,,3,,5,,,,2,,5,,,,1,,3,,,,3,,2,,,,3,,3,,,,5,,1,,,,4,,5,,,,4,,3,,
"NW","NW30099",16,3,4,1,4,4,0,0,,,,,3,,2,,,,1,,1,,,,5,,4,,,,5,,5,,,,4,,3,,,,3,,2,,,,4,,3,,,,5,,5,,,,3,,3,,,,1,,1,,,,5,,5,,,,5,,5,,,
"NW","NW30137",16,2,4,1,3,4,1,0,,,,,,4,,3,,,,2,,1,,,,5,,5,,,,4,,4,,,,5,,5,,,,3,,3,,,,4,,4,,,,4,,4,,,,5,,3,,,,2,,2,,,,5,,5,,,,4,,3,,
"NW","NW30149",16,3,4,0,3,4,1,1,1,3,1,1,3,,4,,3,,2,,3,,1,,5,,5,,5,,5,,4,,3,,3,,5,,3,,2,,3,,1,,5,,4,,2,,5,,4,,5,,3,,5,,3,,2,,3,,1,,5,,5,,5,,5,,4,,4,
"NW","NW30154",16,3,4,1,3,4,1,0,,,,,,4,,2,,,,2,,2,,,,4,,4,,,,4,,3,,,,5,,4,,,,2,,2,,,,3,,2,,,,4,,4,,,,5,,4,,,,2,,2,,,,4,,4,,,,3,,2,,
"NW","NW30182",16,3,2,1,3,2,1,0,,,,,2,,2,,,,2,,3,,,,3,,2,,,,4,,3,,,,2,,2,,,,2,,3,,,,4,,1,,,,4,,3,,,,2,,2,,,,1,,2,,,,5,,3,,,,4,,1,,,
"NW","NW30198",16,3,4,0,3,4,0,1,2,3,4,1,,4,,4,,4,,1,,1,,1,,5,,5,,5,,5,,5,,3,,5,,5,,4,,1,,1,,3,,4,,5,,1,,5,,5,,5,,5,,5,,5,,1,,1,,3,,4,,4,,4,,5,,5,,3
"NW","NW30205",16,,,,2,4,1,0,,,,,,,,2,,,,,,1,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,1,,,,,,3,,,,,,3,,
"NW","NW30218",16,3,4,0,3,3,1,0,,,,,2,,3,,,,1,,1,,,,5,,3,,,,4,,2,,,,2,,2,,,,1,,1,,,,3,,1,,,,5,,3,,,,3,,1,,,,1,,1,,,,5,,3,,,,4,,1,,,
"NW","NW30226",16,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NW","NW30232",16,3,4,1,3,4,1,1,1,3,4,0,4,,3,,5,,3,,3,,1,,4,,4,,5,,4,,3,,5,,4,,4,,5,,3,,3,,3,,3,,3,,4,,4,,4,,5,,4,,4,,5,,3,,1,,3,,5,,4,,5,,5,,3,,5,
"NW","NW30244",16,3,3,1,3,4,1,0,,,,,4,,3,,,,2,,3,,,,4,,5,,,,5,,5,,,,5,,5,,,,2,,4,,,,5,,5,,,,5,,5,,,,3,,2,,,,2,,5,,,,4,,5,,,,5,,5,,,
"NW","NW30260",16,3,4,1,3,4,0,0,,,,,3,,2,,,,3,,3,,,,4,,3,,,,4,,2,,,,2,,3,,,,3,,3,,,,4,,1,,,,4,,3,,,,4,,3,,,,3,,3,,,,4,,3,,,,3,,1,,,
"NW","NW30271",16,3,4,0,3,4,0,1,2,3,4,0,,4,,3,,5,,1,,3,,3,,4,,3,,5,,5,,2,,5,,5,,1,,5,,5,,4,,3,,5,,1,,5,,5,,3,,5,,5,,3,,5,,3,,4,,2,,5,,2,,4,,4,,3,,2
"NW","NW30293",16,3,4,1,2,2,0,0,,,,,,3,,2,,,,1,,1,,,,4,,4,,,,2,,1,,,,5,,2,,,,1,,1,,,,1,,1,,,,5,,4,,,,2,,1,,,,1,,1,,,,4,,4,,,,2,,1,,
"NW","NW30315",16,3,4,1,3,4,1,0,,,,,,4,,2,,,,2,,1,,,,4,,4,,,,4,,2,,,,5,,4,,,,2,,2,,,,3,,3,,,,4,,4,,,,3,,1,,,,2,,1,,,,4,,4,,,,3,,2,,
"NW","NW30328",16,2,4,1,3,4,1,1,1,3,4,1,3,,3,,3,,1,,1,,1,,4,,3,,3,,5,,3,,4,,4,,4,,4,,2,,2,,2,,5,,4,,4,,4,,3,,3,,2,,2,,2,,1,,2,,2,,4,,3,,4,,5,,4,,3,
"NW","NW30330",16,3,4,1,3,4,1,0,,,,,,4,,4,,,,2,,2,,,,5,,5,,,,4,,4,,,,4,,4,,,,2,,2,,,,3,,3,,,,4,,4,,,,5,,3,,,,1,,3,,,,5,,5,,,,3,,3,,
"NW","NW30363",16,3,4,1,2,2,1,0,,,,,,4,,2,,,,1,,1,,,,5,,3,,,,5,,3,,,,5,,2,,,,1,,1,,,,5,,3,,,,5,,3,,,,5,,3,,,,1,,1,,,,5,,5,,,,5,,2,,
"NW","NW30374",16,2,4,0,3,3,1,0,,,,,,3,,2,,,,3,,2,,,,4,,4,,,,3,,3,,,,3,,3,,,,3,,2,,,,1,,1,,,,4,,4,,,,3,,1,,,,4,,2,,,,4,,4,,,,3,,3,,
"NW","NW30389",16,3,4,1,3,2,1,0,,,,,,4,,3,,,,2,,1,,,,4,,3,,,,4,,3,,,,5,,2,,,,1,,2,,,,3,,1,,,,4,,3,,,,4,,2,,,,2,,2,,,,4,,3,,,,3,,2,,
"NW","NW30391",16,3,4,0,3,4,1,0,,,,,3,,4,,,,1,,3,,,,4,,4,,,,5,,4,,,,4,,4,,,,2,,3,,,,5,,3,,,,4,,4,,,,4,,4,,,,1,,3,,,,4,,4,,,,5,,3,,,
"NW","NW30409",16,3,4,1,,,,0,,,,,,4,,1,,,,2,,1,,,,4,,,,,,2,,1,,,,3,,1,,,,2,,1,,,,2,,1,,,,4,,1,,,,3,,1,,,,3,,1,,,,4,,1,,,,1,,1,,
"NW","NW30417",16,3,4,0,3,4,0,1,2,3,3,1,,4,,3,,4,,2,,2,,2,,4,,4,,5,,4,,4,,5,,4,,4,,5,,2,,2,,2,,2,,4,,5,,4,,4,,5,,4,,4,,5,,2,,2,,2,,5,,5,,5,,4,,4,,5
"NW","NW30425",16,3,4,1,4,4,0,1,2,3,1,0,,4,,3,,4,,3,,1,,1,,4,,4,,4,,5,,3,,5,,4,,3,,4,,4,,3,,2,,3,,3,,4,,4,,3,,4,,4,,3,,4,,2,,2,,2,,4,,4,,4,,2,,2,,4
"NW","NW30433",16,3,4,0,3,4,0,1,1,4,4,0,2,,3,,4,,2,,1,,1,,4,,4,,5,,3,,4,,5,,3,,4,,5,,2,,1,,1,,4,,4,,5,,3,,4,,5,,2,,3,,5,,1,,1,,1,,4,,4,,5,,2,,3,,5,
"NW","NW30461",16,3,4,1,3,4,1,1,1,4,4,0,3,,3,,4,,2,,1,,2,,5,,5,,5,,5,,5,,5,,5,,4,,5,,4,,3,,3,,4,,4,,5,,5,,5,,5,,3,,3,,5,,2,,1,,2,,5,,5,,5,,2,,2,,2,
"NW","NW30486",16,3,4,1,3,4,1,0,,,,,,3,,4,,,,1,,2,,,,3,,4,,,,3,,2,,,,4,,1,,,,5,,1,,,,1,,3,,,,4,,5,,,,4,,1,,,,1,,3,,,,5,,4,,,,1,,5,,
"NW","NW30502",16,3,4,1,2,4,0,1,1,3,4,1,3,,2,,4,,5,,1,,1,,3,,2,,5,,3,,4,,3,,3,,4,,3,,3,,3,,5,,3,,5,,3,,4,,3,,5,,3,,4,,3,,1,,1,,1,,4,,2,,5,,3,,1,,5,
"NW","NW30523",16,3,4,1,3,4,1,1,2,3,1,1,,4,,3,,3,,2,,2,,2,,4,,4,,3,,5,,4,,4,,4,,4,,4,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,4,,4,,3,,3,,3,,4,,4,,4,,5,,5,,5
"NW","NW30535",16,2,4,1,2,4,1,1,2,2,2,1,,5,,5,,5,,2,,1,,1,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,2,,1,,3,,3,,5,,4,,4,,5,,5,,5,,5,,3,,3,,2,,4,,4,,5,,4,,4,,4
"NW","NW30547",16,2,2,1,3,1,1,1,1,3,2,1,4,,3,,3,,3,,2,,2,,4,,4,,4,,5,,4,,4,,5,,3,,4,,3,,2,,1,,5,,3,,4,,4,,3,,3,,5,,3,,4,,2,,1,,1,,4,,3,,4,,5,,3,,4,
"NW","NW30551",16,2,4,1,3,4,1,0,,,,,4,,2,,,,4,,1,,,,5,,3,,,,5,,2,,,,5,,2,,,,3,,3,,,,5,,2,,,,4,,2,,,,5,,1,,,,4,,1,,,,5,,2,,,,5,,1,,,
"NW","NW30568",16,3,4,1,3,4,1,0,,,,,4,,3,,,,4,,3,,,,4,,4,,,,5,,5,,,,3,,5,,,,3,,3,,,,5,,4,,,,4,,4,,,,5,,3,,,,1,,3,,,,4,,4,,,,5,,3,,,
"NW","NW30579",16,5,4,0,3,4,1,0,,,,,,3,,2,,,,2,,3,,,,4,,5,,,,1,,4,,,,3,,2,,,,4,,1,,,,3,,1,,,,4,,4,,,,4,,2,,,,3,,3,,,,4,,4,,,,3,,3,,
