"id","visit","center","ssa1","ssa2","ssa3","ssa4","ssa5","ssa6","ssa7","ssa8","ssa9","ssa9a","ssa9b","ssa9c","ssa9d","ssa9e","ssa10","ssa10a","ssa10b","ssa10c","ssa10d","ssa10e","ssa11","ssa12"
"EA40015",8,"EA",2,2,1,3,5,3,4,5,0,,,,,,0,,,,,,"JAS",4/15/1996
"EA40056",8,"EA",5,3,5,1,5,5,1,5,0,,,,,,1,4,0,0,0,,"CET",4/15/1996
"EA40091",8,"EA",3,3,4,3,1,4,3,5,0,,,,,,1,1,0,1,0,,"CET",4/15/1996
"EA40108",8,"EA",1,1,2,5,5,5,5,5,0,,,,,,0,,,,,,"CET",4/15/1996
"EA40141",8,"EA",2,2,3,2,5,2,2,3,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40157",8,"EA",2,2,3,3,5,2,2,2,1,1,0,1,0,,1,1,0,1,0,,"CET",4/15/1996
"EA40251",8,"EA",2,2,1,2,4,3,2,4,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40251",10,"EA",1,1,2,5,5,5,3,5,1,0,0,0,0,,1,0,0,3,0,,"CET",4/15/1998
"EA40312",8,"EA",4,4,4,3,4,5,1,3,0,,,,,,1,1,0,0,0,,"CET",4/15/1997
"EA40345",8,"EA",3,3,5,5,5,3,3,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40353",10,"EA",3,3,5,1,4,5,1,3,,,,,,"======================================================",1,3,0,2,0,,"KRW",4/15/2000
"EA40399",8,"EA",1,1,1,5,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40399",10,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA40401",8,"EA",,3,5,1,5,5,3,3,1,3,0,0,0,,,,,,,"=====================================================","CET",4/15/1996
"EA40414",8,"EA",2,2,4,1,3,2,1,4,1,1,0,1,0,,1,1,0,0,0,,"CET",4/15/1996
"EA40422",8,"EA",1,2,4,1,4,4,3,5,1,0,0,0,0,,1,2,0,0,0,,"CET",4/15/1997
"EA40436",8,"EA",1,2,2,4,5,5,4,5,0,,,,,,0,,,,,,"CET",4/15/1996
"EA40450",8,"EA",1,1,3,5,5,4,4,5,0,,,,,,1,1,0,0,0,,"CET",4/15/1997
"EA40450",10,"EA",1,1,1,5,5,5,4,5,0,,,,,,0,,,,,,"KRW",7/15/2000
"EA40469",8,"EA",1,2,2,3,4,5,4,4,,,,,,"======================================================",1,4,0,1,1,"VANDELISM","KYR",6/15/1998
"EA40475",8,"EA",1,2,2,4,5,5,3,5,0,,,,,,1,1,0,0,0,,"CET",4/15/1997
"EA40475",10,"EA",3,4,4,1,4,4,2,3,1,0,0,,,"======================================================",0,,,,,,"KYR",4/15/2000
"EA40497",8,"EA",4,5,5,5,2,2,5,3,1,10,0,1,0,,1,2,0,0,0,,"CET",4/15/1997
"EA40518",8,"EA",1,1,2,1,,1,2,5,0,,,,,,0,,,,,,"CET",4/15/1996
"EA40526",8,"EA",2,2,3,2,5,5,3,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40526",10,"EA",,,,,,,,,,,,,,"======================================================",,,,,,"=====================================================","CXM",4/15/1999
"EA40560",10,"EA",5,5,5,1,5,4,1,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA40593",8,"EA",2,2,3,2,5,4,4,4,0,,,,,,1,0,0,1,1,"=====================================================","CET",4/15/1997
"EA40593",10,"EA",1,2,3,4,5,5,3,5,1,1,0,4,0,,1,4,0,0,0,,"KRW",4/15/2000
"EA40606",8,"EA",1,1,1,5,5,5,5,5,1,1,0,0,0,,0,,,,,,"BEB",4/15/1997
"EA40619",8,"EA",2,2,4,1,5,5,1,3,0,,,,,,1,0,0,2,1,"=====================================================","BEB",4/15/1997
"EA40631",8,"EA",2,2,2,3,5,4,4,5,0,,,,,,0,,,,,,"CET",4/15/1996
"EA40643",8,"EA",1,2,3,5,5,5,4,5,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA40664",8,"EA",1,1,4,2,5,5,2,5,0,,,,,,0,,,,,,"BEB",4/15/1997
"EA40664",10,"EA",2,2,2,3,4,4,4,4,0,,,,,,0,,,,,,"KRW",4/15/2000
"EA40670",8,"EA",3,3,5,1,5,4,1,3,0,,,,,,1,10,0,0,0,,"BEB",4/15/1997
"EA40692",8,"EA",2,2,2,4,5,5,5,5,0,,,,,,1,3,0,0,0,,"BEB",4/15/1997
"EA40746",8,"EA",3,3,5,1,5,5,1,5,1,1,0,0,1,"======================================================",1,1,0,1,1,"=====================================================","BEB",4/15/1997
"EA40746",10,"EA",3,2,3,4,5,5,3,5,1,,,,,"FIGHTING",1,,,,0,,"CXM",4/15/1999
"EA40752",8,"EA",3,2,2,3,5,5,3,5,0,,,,,,0,,,,,,"BEB",4/15/1997
"EA40767",8,"EA",3,3,3,1,5,5,3,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40778",8,"EA",1,1,3,1,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40780",8,"EA",2,2,4,3,4,3,2,4,1,3,0,5,0,,1,2,0,3,0,,"KYR",6/15/1998
"EA40795",8,"EA",4,4,4,,5,,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40800",8,"EA",2,3,5,1,5,4,1,5,1,1,0,0,0,,1,1,4,0,0,,"BEB",4/15/1996
"EA40813",8,"EA",1,2,4,4,5,5,2,3,0,,,,,,1,3,0,0,0,,"BEB",4/15/1996
"EA40813",10,"EA",3,3,4,2,,3,1,3,1,1,0,1,0,,1,1,0,1,0,,"CXM",4/15/1999
"EA40821",8,"EA",3,3,4,1,5,5,3,4,0,,,,,,1,3,0,0,0,,"BEB",4/15/1997
"EA40837",8,"EA",1,1,2,5,5,5,4,5,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA40849",8,"EA",3,3,5,2,5,2,1,3,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA40865",8,"EA",1,2,2,4,5,4,3,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA40882",8,"EA",3,3,4,5,,5,1,5,0,,,,,,0,,,,,,"CET",6/15/1998
"EA40909",8,"EA",2,2,4,2,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA40917",8,"EA",3,2,4,1,4,5,1,3,1,0,0,1,0,,1,1,0,1,0,,"CXM",4/15/1999
"EA40940",8,"EA",4,4,5,2,4,4,1,4,1,0,0,20,0,,1,6,0,2,0,,"CXM",4/15/1999
"EA40986",8,"EA",4,4,4,1,5,3,3,3,1,1,0,1,0,,1,1,0,1,0,,"CXM",4/15/1999
"EA40994",8,"EA",1,2,3,4,2,1,2,2,0,,,,,,0,,,,,,"CET",6/15/1998
"EA41002",8,"EA",2,2,4,1,5,5,4,4,1,0,0,3,0,,1,4,0,2,0,,"KYR",6/15/1998
"EA41010",8,"EA",2,4,4,2,5,4,3,4,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA41051",8,"EA",2,2,4,2,4,4,2,4,0,,,,,,1,20,0,0,1,"=====================================================","CET",4/15/1997
"EA41051",10,"EA",3,3,5,1,5,3,1,3,1,0,0,4,0,,1,2,0,2,0,,"KYR",4/15/2000
"EA41084",10,"EA",2,2,2,5,5,5,3,5,1,1,0,1,0,,1,1,0,1,0,,"KYR",4/15/2000
"EA41111",8,"EA",3,3,4,1,,,5,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA41139",8,"EA",2,2,3,5,4,4,1,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA41178",8,"EA",1,1,2,3,5,5,5,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA41195",8,"EA",5,2,5,1,4,2,3,4,,,,,,"======================================================",,,,,,"=====================================================","CXM",4/15/1999
"EA41207",8,"EA",4,4,4,3,4,3,2,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA41230",8,"EA",1,1,4,4,5,5,,5,0,,,,,,1,1,0,0,0,,"CXM",4/15/1999
"EA41242",8,"EA",1,1,3,3,5,5,3,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA41274",8,"EA",3,1,4,3,5,4,3,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA41274",10,"EA",1,1,2,5,5,5,3,5,0,,,,,,0,,,,,,"KRW",4/15/2000
"EA41289",8,"EA",2,1,1,1,5,5,1,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA41325",8,"EA",4,3,5,5,5,3,1,5,1,5,0,1,0,,1,3,1,2,0,,"KYR",6/15/1998
"EA41340",8,"EA",3,3,1,1,4,,4,4,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA41361",8,"EA",5,5,5,1,2,2,1,1,1,36,0,36,0,,1,0,0,6,0,,"CXM",4/15/1999
"EA41372",8,"EA",2,2,4,1,5,4,3,5,1,1,0,1,0,,1,1,0,2,0,,"CXM",4/15/1999
"EA41394",8,"EA",4,4,5,1,4,4,1,5,0,,,,,,0,,,,,,"KYR",4/15/2000
"EA41406",8,"EA",2,2,4,1,4,3,1,5,1,0,0,1,1,"HIT BY CAR EVERY OTHER MONTH",1,1,0,0,1,"CAR VANDALISM","CXM",4/15/1999
"EA41427",8,"EA",1,2,4,2,4,5,3,4,1,0,0,2,0,,0,,,,,,"CXM",4/15/1999
"EA41431",8,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA41443",8,"EA",2,2,3,3,5,4,1,5,1,5,0,2,0,,1,6,0,3,0,,"CXM",4/15/1999
"EA41455",8,"EA",3,2,3,2,5,5,3,5,0,,,,,,0,,,,,,"CET",4/15/1998
"EA43011",8,"EA",1,2,4,1,5,5,4,5,0,,,,,,1,2,0,0,0,,"CET",4/15/1997
"EA43011",10,"EA",5,5,5,1,2,3,4,1,1,,,,,"======================================================",1,,,,,"=====================================================","CXM",4/15/1999
"EA43039",8,"EA",3,3,5,1,5,4,1,4,0,,,,,,1,1,0,0,0,,"ACG",4/15/1998
"EA43046",8,"EA",4,4,3,3,4,4,3,3,0,,,,,,1,1,0,0,0,,"CET",4/15/1997
"EA43052",8,"EA",2,2,4,5,2,5,5,5,0,,,,,,1,1,0,0,0,,"BEB",4/15/1996
"EA43052",10,"EA",1,1,4,4,4,4,1,4,0,,,,,,1,0,0,2,0,,"CXM",4/15/1999
"EA43067",8,"EA",2,2,2,4,4,5,4,5,0,,,,,,0,,,,,,"CET",6/15/1998
"EA43078",8,"EA",1,1,1,4,5,5,4,5,1,0,0,1,0,,0,,,,,,"CET",4/15/1997
"EA43095",10,"EA",4,3,4,1,5,4,2,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43104",8,"EA",2,2,4,1,5,5,3,5,0,,,,,,0,,,,,,"CET",6/15/1998
