"id","visit","center","ssa1","ssa2","ssa3","ssa4","ssa5","ssa6","ssa7","ssa8","ssa9","ssa9a","ssa9b","ssa9c","ssa9d","ssa9e","ssa10","ssa10a","ssa10b","ssa10c","ssa10d","ssa10e","ssa11","ssa12"
"EA43112",8,"EA",4,4,5,3,5,5,1,3,1,0,0,1,0,,1,1,0,0,0,,"CET",4/15/1997
"EA43138",8,"EA",3,2,5,1,5,5,1,5,0,,,,,,0,,,,,,"BEB",4/15/1996
"EA43145",8,"EA",4,2,4,2,5,5,4,5,1,1,0,0,0,,1,1,0,0,0,,"BEB",4/15/1996
"EA43166",8,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43177",8,"EA",2,2,4,2,5,5,2,5,1,3,0,2,0,,1,3,0,2,0,,"ACG",4/15/1998
"EA43181",8,"EA",4,2,2,4,4,3,2,4,1,3,0,0,0,,1,2,0,0,0,,"KYR",6/15/1998
"EA43206",8,"EA",2,2,3,3,4,4,1,4,0,,,,,,0,,,,,,"CET",6/15/1998
"EA43255",8,"EA",4,5,4,1,5,4,5,3,1,0,0,1,0,,1,1,0,0,0,,"BEB",4/15/1996
"EA43264",8,"EA",2,2,3,2,5,2,2,3,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA43270",8,"EA",2,1,2,3,5,5,3,5,0,,,,,,1,1,0,0,0,,"KYR",6/15/1998
"EA43292",8,"EA",4,1,2,5,5,5,1,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43308",8,"EA",3,2,4,1,4,4,3,4,0,,,,,,1,2,0,0,0,,"CET",4/15/1997
"EA43357",8,"EA",1,1,3,4,5,4,1,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43373",8,"EA",2,2,5,1,5,5,3,5,1,0,0,0,1,"A MAN ENTERED THE SCHOOL AFTER HOURS TO COMMIT SUICIDE",0,,,,,,"CET",4/15/1997
"EA43390",10,"EA",2,2,3,3,5,5,5,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43426",8,"EA",3,4,4,1,5,4,1,3,1,30,0,2,0,,1,3,0,0,0,,"CET",4/15/1997
"EA43493",8,"EA",3,3,3,4,5,5,3,5,0,,,,,,1,0,0,1,0,,"CET",4/15/1997
"EA43522",8,"EA",1,1,4,1,5,3,3,5,0,,,,,,0,,,,,,"CET",6/15/1998
"EA43522",10,"EA",4,4,1,5,2,2,5,2,0,,,,,,0,,,,,,"KRW",4/15/2000
"EA43548",8,"EA",5,5,4,4,3,4,4,3,1,3,5,5,0,,1,2,0,2,0,,"KYR",6/15/1998
"EA43548",10,"EA",3,4,5,1,3,3,1,1,0,,,,,,1,0,0,,,"=====================================================","KYR",4/15/2000
"EA43550",8,"EA",1,3,3,1,1,3,1,4,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA43569",8,"EA",3,3,4,3,5,5,3,5,0,,,,,,1,2,0,0,1,"=====================================================","CET",4/15/1997
"EA43575",10,"EA",3,3,4,3,5,5,1,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43623",8,"EA",2,2,2,4,5,5,3,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43635",8,"EA",3,3,5,1,4,4,1,4,1,1,0,1,0,,1,0,0,1,0,,"ACG",4/15/1998
"EA43684",8,"EA",1,2,3,3,5,4,1,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43696",8,"EA",1,1,4,3,5,5,1,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43707",8,"EA",3,2,3,4,5,5,3,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43715",8,"EA",3,3,5,2,4,4,1,2,1,1,0,1,0,,1,1,0,0,0,,"CET",6/15/1998
"EA43742",8,"EA",1,1,2,4,5,5,3,4,1,1,0,0,0,,1,1,0,0,0,,"ACG",4/15/1998
"EA43756",8,"EA",3,3,3,3,5,4,1,4,1,0,0,0,1,"FIGHTS ALMOST DAILY",1,0,0,1,1,"THEFT OFTEN BUT MINIMAL AMOUNTS OF MONEY","CXM",4/15/1999
"EA43774",8,"EA",2,2,3,3,5,5,4,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43840",8,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43858",8,"EA",2,2,4,2,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43861",8,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43872",8,"EA",2,2,4,2,5,5,3,5,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA43886",8,"EA",2,2,2,3,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43886",10,"EA",2,2,3,4,5,5,4,5,1,3,0,5,0,,1,1,0,1,0,,"CXM",4/15/1999
"EA43900",8,"EA",1,1,5,1,5,5,2,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA43900",10,"EA",5,4,5,1,4,2,1,1,1,0,0,1,0,,0,,,,,,"KRW",7/15/2000
"EA43913",8,"EA",3,3,4,2,5,5,2,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43913",10,"EA",4,3,5,1,5,5,2,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43921",8,"EA",5,4,4,2,4,4,1,1,1,2,0,30,0,,1,0,1,2,0,,"CET",4/15/1997
"EA43921",10,"EA",3,2,3,3,4,5,3,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA43937",8,"EA",2,2,2,2,2,5,4,4,0,,,,,,0,,,,,,"CET",7/15/1998
"EA43937",10,"EA",1,1,1,3,2,,3,5,0,,,,,,0,,,,,,"KRW",7/15/2000
"EA43982",8,"EA",2,1,1,4,5,5,4,5,0,,,,,,0,,,,,,"CET",4/15/1997
"EA43982",10,"EA",1,1,1,4,4,4,4,5,1,0,0,,0,,0,,,,,,"KYR",4/15/2000
"EA43998",8,"EA",3,3,3,2,4,4,2,4,0,,,,,,1,0,1,0,0,,"CET",4/15/1997
"EA44009",8,"EA",3,3,4,2,4,3,3,4,0,,,,,,1,2,0,0,0,,"CET",4/15/1997
"EA44017",10,"EA",2,1,2,3,4,4,3,5,0,,,,,,0,,,,,,"KRW",4/15/2000
"EA44033",8,"EA",1,1,3,3,5,5,3,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA44072",8,"EA",3,4,4,1,4,3,1,4,1,,,,,"======================================================",1,5,0,0,1,"CARS VANDALISM","CXM",4/15/1999
"EA44094",8,"EA",1,1,4,3,5,5,2,5,0,,,,,,0,,,,,,"KYR",6/15/1998
"EA44126",8,"EA",1,1,2,2,5,5,3,5,0,,,,,,1,0,0,0,1,"=====================================================","KYR",6/15/1998
"EA44144",10,"EA",2,3,4,1,5,5,1,4,0,,,,,,1,1,0,0,0,,"KRW",7/15/2000
"EA44159",8,"EA",2,2,2,4,4,4,3,5,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA44200",8,"EA",4,4,4,2,5,4,3,3,0,,,,,,1,0,0,0,1,"=====================================================","JTB",4/15/1997
"EA44213",8,"EA",4,5,4,1,3,2,1,2,0,,,,,,1,0,1,0,0,,"CET",6/15/1998
"EA44249",8,"EA",4,4,5,2,4,3,1,3,1,0,0,30,0,,1,1,0,2,0,,"CXM",4/15/1999
"EA44254",8,"EA",2,2,4,2,4,3,1,4,1,0,0,2,0,,1,2,0,2,0,,"CXM",4/15/1999
"EA44265",8,"EA",3,3,5,2,5,5,1,4,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA44265",10,"EA",4,3,5,3,5,4,3,5,0,,,,,,1,0,0,0,1,"=====================================================","CXM",4/15/1999
"EA44298",8,"EA",4,4,5,1,3,1,1,2,1,,,,,"======================================================",0,,,,,,"CXM",4/15/1999
"EA44302",8,"EA",3,3,4,2,4,4,1,3,,,,,,"======================================================",1,3,0,4,0,,"KYR",4/15/2000
"EA44310",8,"EA",2,3,5,1,5,4,1,5,1,1,0,4,0,,1,1,1,1,0,,"KYR",6/15/1998
"EA44379",8,"EA",3,2,4,1,,5,2,5,1,2,0,10,0,,1,2,0,2,0,,"KYR",6/15/1998
"EA44379",10,"EA",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"KYR",4/15/2000
"EA44396",8,"EA",3,3,4,1,5,5,2,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA44481",8,"EA",1,,3,3,5,5,3,4,0,,,,,,0,,,,,,"CXM",6/15/1999
"EA45034",8,"EA",4,3,4,1,4,4,3,3,1,10,0,0,0,,1,3,0,3,0,,"ACG",4/15/1998
"EA45041",8,"EA",2,1,4,2,5,4,3,5,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA45057",8,"EA",4,4,5,1,4,3,1,3,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45057",10,"EA",5,4,,5,5,1,3,,1,0,0,,0,,1,,0,,0,,"KYR",4/15/2000
"EA45062",8,"EA",1,1,1,4,5,5,4,5,0,,,,,,1,0,0,0,1,"DAMAGE TO CARS","KYR",6/15/1998
"EA45073",8,"EA",1,1,1,5,5,5,2,5,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45125",8,"EA",3,1,5,1,4,4,3,4,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45133",8,"EA",4,4,5,1,4,4,2,4,,,,,,"======================================================",,,,,,"=====================================================","JTB",4/15/1997
"EA45158",8,"EA",1,2,3,3,5,4,3,5,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45186",8,"EA",3,3,4,2,2,4,2,4,1,0,0,1,0,,0,,,,,,"JTB",4/15/1997
"EA45194",8,"EA",3,1,4,3,5,4,3,4,1,0,0,1,0,,0,,,,,,"JTB",4/15/1997
"EA45201",8,"EA",3,3,4,1,5,5,4,5,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45214",10,"EA",1,1,2,4,5,5,4,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA45236",8,"EA",2,5,3,5,5,5,1,,0,,,,,,1,0,1,1,1,"=====================================================","CET",4/15/1997
"EA45236",10,"EA",3,4,3,1,4,2,2,4,1,4,0,5,0,,1,3,0,3,0,,"CXM",4/15/1999
"EA45248",8,"EA",4,3,5,1,3,2,3,3,1,2,0,2,0,,1,2,0,0,0,,"ACG",4/15/1998
"EA45269",8,"EA",1,1,1,,5,5,1,5,0,,,,,,0,,,,,,"JTB",4/15/1997
"EA45269",10,"EA",1,1,2,4,5,5,2,5,0,,,,,,0,,,,,,"KYR",4/15/2000
"EA45275",8,"EA",4,4,4,1,5,5,1,5,1,0,1,0,0,,1,0,1,0,0,,"JTB",4/15/1997
"EA45283",8,"EA",3,5,5,1,5,5,1,,0,,,,,,1,1,0,0,0,,"JTB",4/15/1997
"EA45303",8,"EA",3,1,3,3,5,5,4,5,0,,,,,,1,0,0,0,1,"=====================================================","KYR",6/15/1998
"EA45311",8,"EA",2,1,3,4,5,4,4,5,1,0,0,1,0,,0,,,,,,"KYR",6/15/1998
"EA45352",8,"EA",3,3,5,1,5,5,1,5,1,5,0,5,0,,1,3,0,4,0,,"ACG",4/15/1998
"EA45395",8,"EA",1,4,5,1,5,3,1,5,0,,,,,,1,,,,,"=====================================================","CXM",4/15/1999
"EA45400",8,"EA",4,4,4,3,5,5,1,3,0,,,,,,1,1,0,0,0,,"JTB",4/15/1997
"EA45413",8,"EA",2,1,3,3,5,5,2,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA45498",8,"EA",4,4,5,5,3,5,5,4,1,0,0,2,0,,1,2,2,5,1,"BROKEN WINDOW ON VEHICLES--OCCURRED TWICE","ACG",4/15/1998
"EA45506",8,"EA",3,4,5,,3,5,1,5,1,0,0,1,1,"SEXUAL HARASSMENT",1,0,0,3,1,"CAR WINDOW BROKEN","CXM",4/15/1999
"EA45527",8,"EA",4,4,4,1,4,3,1,3,1,1,0,3,0,,1,1,0,3,0,,"CXM",4/15/1999
"EA45555",8,"EA",1,1,2,1,5,5,3,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA45588",8,"EA",2,1,4,1,4,4,2,4,1,1,0,1,0,,1,1,0,0,0,,"CXM",4/15/1999
"EA45630",8,"EA",2,2,2,4,5,5,4,5,0,,,,,,1,0,0,1,0,,"CET",6/15/1998
"EA45642",8,"EA",2,1,2,1,5,5,1,5,1,0,0,2,0,,1,1,0,1,0,,"KYR",6/15/1998
"EA45663",8,"EA",2,2,2,1,5,5,2,5,0,,,,,,0,,,,,,"ACG",4/15/1998
"EA45751",8,"EA",2,2,3,3,5,5,3,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA45768",8,"EA",1,1,1,5,5,5,2,5,0,,,,,,0,,,,,,"CXM",4/15/1999
"EA45845",8,"EA",1,1,1,5,5,5,3,5,0,,,,,,0,,,,,,"KYR",4/15/2000
"EA45899",8,"EA",2,1,1,4,5,5,2,5,0,,,,,,1,1,0,0,0,,"CXM",4/15/1999
"EA45918",8,"EA",1,1,1,5,5,5,1,5,0,,,,,,0,,,,,,"CXM",6/15/1999
"EA45932",8,"EA",3,3,3,3,5,4,1,2,1,5,0,10,0,,1,6,0,20,0,,"CXM",4/15/1999
"EA45987",8,"EA",1,1,1,5,5,5,4,4,0,,,,,,0,,,,,,"KYR",4/15/2000
"EA45993",8,"EA",2,2,3,3,4,3,1,4,0,,,,,,0,,,,,,"CXM",4/15/1999
"MW00136",8,"MW",1,2,3,3,4,3,2,3,0,,,,,,0,,,,,,"===",9/15/2004
"MW00148",8,"MW",3,3,4,2,4,4,1,2,1,0,0,50,0,,1,3,1,2,0,,"===",4/15/2003
"MW00148",10,"MW",4,3,4,2,5,5,2,4,0,,,,,,1,0,0,0,1,"5 CARS BROKEN INTO, EQUIPMENT TAKEN","===",5/15/2005
"MW00150",8,"MW",1,2,1,5,5,5,3,4,0,,,,,,0,,,,,,"===",10/15/2001
"MW00169",8,"MW",1,2,4,1,5,5,3,5,0,,,,,,0,,,,,,"===",5/15/2003
"MW00197",8,"MW",4,3,1,1,4,4,1,2,1,3,0,0,0,,0,,,,,,"===",11/15/2001
"MW00217",8,"MW",1,1,1,4,5,5,4,4,0,,,,,,0,,,,,,"===",10/15/2001
"MW00233",8,"MW",3,2,4,3,5,5,1,5,0,,,,,,0,,,,,,"===",3/15/2001
"MW00258",8,"MW",2,2,3,2,4,5,3,3,0,,,,,,0,,,,,,"===",10/15/2001
"MW00272",8,"MW",1,1,1,2,5,5,5,5,0,,,,,,0,,,,,,"===",3/15/2001
"MW00286",8,"MW",1,1,2,4,4,5,4,5,0,,,,,,0,,,,,,"===",10/15/2001
"MW00319",8,"MW",1,1,1,5,5,5,4,5,0,,,,,,0,,,,,,"===",4/15/2001
"MW00319",10,"MW",3,3,1,3,4,2,5,3,1,5,0,99,0,,1,7,0,1,0,,"===",2/15/2003
"MW00327",8,"MW",,1,1,5,5,5,2,5,0,,,,,,0,,,,,,"===",10/15/2001
"MW00355",8,"MW",1,1,1,3,5,5,5,5,0,,,,,,0,,,,,,"===",6/15/2002
"MW00408",8,"MW",3,3,5,4,4,3,1,1,1,0,0,5,0,,1,3,0,1,0,,"===",8/15/2001
"MW00416",8,"MW",2,2,3,5,5,5,1,3,0,,,,,,0,,,,,,"===",10/15/2001
"MW00429",8,"MW",1,1,2,5,5,5,5,4,0,,,,,,0,,,,,,"===",5/15/2000
"MW00434",10,"MW",2,2,2,4,5,5,2,4,0,,,,,,0,,,,,,"===",12/15/2003
"MW00441",8,"MW",2,2,2,4,4,4,1,3,1,0,0,2,0,,1,1,0,0,1,"2 VERBAL THREATS BY PARENTS","===",3/15/2001
"MW00441",10,"MW",1,1,1,5,5,5,5,5,0,,,,,,0,,,,,,"===",3/15/2003
"MW00457",8,"MW",2,2,2,4,4,3,3,4,0,,,,,,0,,,,,,"===",5/15/2000
"MW00457",10,"MW",2,2,2,4,4,4,4,3,1,1,0,0,0,,1,1,0,0,0,,"===",2/15/2003
"MW00473",8,"MW",1,1,1,5,5,5,4,5,0,,,,,,0,,,,,,"===",11/15/2001
"MW00485",8,"MW",3,3,5,2,4,3,1,,0,,,,,,0,,,,,,"===",10/15/2001
"MW00511",8,"MW",2,2,5,1,3,3,1,3,1,0,0,1,0,,0,,,,,,"===",11/15/2003
"MW00524",8,"MW",5,5,5,1,1,1,1,1,0,,,,,,0,,,,,,"===",9/15/2002
"MW00524",10,"MW",1,1,4,2,5,5,5,3,1,0,0,5,0,,1,0,0,3,0,,"===",5/15/2005
"MW00552",8,"MW",3,2,5,1,5,5,2,4,0,,,,,,0,,,,,,"===",10/15/2001
"MW00552",10,"MW",2,3,5,2,4,5,2,1,1,5,5,5,0,,1,4,0,0,0,,"===",8/15/2003
"MW00567",8,"MW",3,3,2,3,4,4,2,2,1,2,0,0,0,,1,2,0,0,0,,"===",4/15/2001
"MW00612",8,"MW",,5,5,5,,3,5,,0,,,,,,1,1,0,0,0,,"===",5/15/2000
