"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"EA","EA43177","JWW",16,5,5,5,5,5,5,5,5,3,3,7/15/2006
"EA","EA43181","LHM",16,4,4,4,4,3,4,4,5,4,4,6/15/2006
"EA","EA43206","LHM",16,4,4,3,5,5,4,5,4,1,2,11/15/2006
"EA","EA43255","CEW",16,4,3,3,4,3,4,4,4,4,4,4/15/2004
"EA","EA43264","MRE",16,4,3,3,3,3,3,4,4,3,3,6/15/2005
"EA","EA43270","MRE",16,5,5,4,5,5,5,5,5,5,4,10/15/2005
"EA","EA43292","MSL",16,5,3,5,5,5,4,5,2,5,5,3/15/2005
"EA","EA43334","DKV",16,4,4,2,4,4,4,4,3,4,4,4/15/2004
"EA","EA43357","SCH",16,5,5,5,5,5,5,5,4,5,2,9/15/2004
"EA","EA43390","SCH",16,5,5,5,5,5,5,3,5,5,5,10/15/2004
"EA","EA43459","SCH",16,5,5,5,5,5,5,5,5,1,5,11/15/2004
"EA","EA43493","SCH",16,1,2,3,3,1,5,1,3,4,5,3/15/2004
"EA","EA43522","JCM",16,5,3,5,5,3,4,1,4,5,1,3/15/2005
"EA","EA43548","LHM",16,4,5,4,5,4,4,5,5,2,4,5/15/2006
"EA","EA43550","MRE",16,5,5,5,5,5,5,5,5,5,5,6/15/2005
"EA","EA43569","JCM",16,4,4,5,5,4,5,5,5,5,5,6/15/2004
"EA","EA43597","M S",16,5,4,4,5,1,4,5,5,5,1,6/15/2007
"EA","EA43635","LHM",16,5,5,3,5,5,5,5,3,3,5,1/15/2007
"EA","EA43684","JWW",16,5,4,5,5,5,4,5,4,4,5,9/15/2006
"EA","EA43707","MRE",16,5,5,5,5,5,5,5,5,4,5,2/15/2005
"EA","EA43715","MSL",16,5,1,5,5,5,5,5,5,1,5,9/15/2005
"EA","EA43730","JCM",16,1,5,1,5,1,5,5,5,1,1,1/15/2005
"EA","EA43742","MRE",16,5,5,5,5,5,5,5,5,5,5,10/15/2005
"EA","EA43774","MSL",16,5,5,4,5,5,5,5,5,5,5,3/15/2005
"EA","EA43789","LHM",16,5,5,5,5,5,4,5,5,5,5,7/15/2006
"EA","EA43791","MSL",16,4,5,5,5,5,4,5,5,2,5,9/15/2005
"EA","EA43809","M S",16,5,5,5,5,5,5,5,5,5,5,7/15/2007
"EA","EA43840","JWW",16,5,5,5,5,5,5,5,5,5,5,9/15/2006
"EA","EA43858","JCM",16,5,5,4,5,4,5,5,5,5,4,8/15/2004
"EA","EA43872","MRE",16,5,5,5,5,5,5,5,5,5,5,8/15/2005
"EA","EA43886","JCM",16,5,5,4,4,4,4,4,4,4,5,5/15/2004
"EA","EA43913","JCM",16,5,5,5,5,5,5,1,5,5,2,1/15/2005
