EA43597EA40   0   0   0   0   5BAR15-Nov-1994
EA43602EA40   0   0   0   0   1AB 15-Feb-1993
EA43610EA40   0   0   0   110 0LMM15-Aug-1994
EA43696EA40   0   0   0   0   0BST15-Oct-1994
EA43707EA40   0   0   0   0   0ADS15-Mar-1993
EA43715EA40   0   0   0   0   1BST15-Nov-1993
EA43730EA40   0   0   0   0   1ADS15-May-1993
EA43742EA40   0   0   0   0   0JBH15-Feb-1994
EA43774EA40   0   0   0   0   0ADS15-May-1993
EA43789EA40   0   0   0   0   1BST15-Jul-1994
EA43791EA40   0   0   0   0   0ADS15-Feb-1994
EA43809EA40   0   110 0   0   0DNG15-Mar-1995
EA43825EA40   0   0   0   0   0ADS15-Dec-1993
EA43833EA40   0   0   0   0   0SD 15-Apr-1992
EA43858EA40   0   0   0   0   1SD 15-Jun-1992
EA43861EA40   13100   11100   0ADS15-Nov-1994
EA43872EA40   0   0   0   0   0ADS15-Nov-1993
EA43886EA40   0   0   0   0   0LM 15-Sep-1992
EA43900EA40   0   0   0   110 0ADS15-Jun-1993
EA43913EA40   0   0   0   0   1LM 15-Jan-1993
EA43921EA40   0   0   0   0   0AB 15-Mar-1993
EA43937EA40   0   0   0   0   0CMC15-Aug-1993
EA43965EA40   11100   0   110 4ADS15-Sep-1994
EA43982EA40   0   0   0   0   0BST15-May-1993
EA43998EA40   0   0   0   0   0ADS15-Jun-1993
EA44009EA40   0   0   0   0   1ADS15-Oct-1993
EA44017EA40   0   0   0   0   1DH 15-May-1993
EA44033EA40   0   0   0   0   0BST15-Aug-1994
EA44040EA40   0   0   0   0   0BST15-Apr-1994
EA44058EA40   0   0   0   110 0AB 15-Sep-1992
EA44072EA40   0   0   0   0   0ADS15-Jul-1994
EA44086EA40   0   0   0   0   0DH 15-May-1994
EA44094EA40   0   0   0   0   0BST15-Jul-1994
EA44126EA40   0   0   0   0   0ADS15-Jul-1994
EA44144EA40   0   0   0   0   4BST15-Apr-1994
EA44159EA40   0   0   0   0   0NFM15-Jul-1993
EA44160EA40   0   0   0   0   1ADS15-Aug-1994
EA44171EA40   0   0   0   0   0ADS15-May-1994
EA44193EA40   0   0   0   0   0ADS15-Feb-1994
