EAEA4082114 75 52 50 50 0 034 220011110011110000 0000000000
EAEA4082116  3 17  1  1 0 032 110011110011110000 1100001100
EAEA4083712 75  0  0  0 0 030 000010000010000000 0000000000
EAEA4083714100 23  0  0 0 042 000011000011000000 0000000000
EAEA4083716 16  0  0  0 0 030 000010000010000000 0000000000
EAEA4086512 17  4  4  4 0 031 110011110011110000 0000000000
EAEA4086514  3  0  0  0 0 020 000010000010000000 0000000000
EAEA4086516  7  1  0  0 0 031 000011000011000010 0000100000
EAEA4087612  4  0  0  0 0 010 000010000010000000 0000000000
EAEA4087614 21 29  0  0 0 032 000011000011000000 0000000000
EAEA4087616  1  0  0  0 0 010 000010000010000000 0000000000
EAEA4091712  8  9  0  0 0 043 000011000011110001 2200011100
EAEA4091714  4  4  0  0 0 023 000011000011000000 0000000000
EAEA4091716  0  0  0  0 0 000 000000000010000010 0000100000
EAEA4092514  0  0  0  0 0 000 000000000011000031 0000110000
EAEA4092516  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4095812 37  2  0  0 0 031 000011000011000000 0000000000
EAEA4095814  2  0  0  0 0 020 000010000010000000 0000000000
EAEA4098616  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4099412  8  0  0  0 0 010 000010000010000010 0000100000
EAEA4099414  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4099416  1  0  0  0 0 010 000010000010000010 0000100000
EAEA4100212 12 17  3  3 0 042 220011110011110000 0000000000
EAEA4100214  4  2  0  0 0 011 000011000011110031 1100111100
EAEA4101012 10  1  0  0 0 041 000011000011000000 0000000000
EAEA4101014  6  0  0  0 0 030 000010000010000010 0000100000
EAEA4101016 31  1  0  0 0 031 000011000011000000 0000000000
EAEA4104714 12 12  0  0 0 032 000011000011000000 0000000000
EAEA4106812 80 25  0  0 0 041 000011000011110001 2200011100
EAEA4107914 16  8  2  2 0 043 220011110011110000 0000000000
EAEA4108412 14 12  0  0 0 043 000011000011000000 0000000000
EAEA4108414 20 17  1  1 0 044 110011110011110000 0000000000
EAEA4108416 27 14  0  0 0 044 000011000011000000 0000000000
EAEA4109612  1  4  0  0 0 011 000011000011000000 0000000000
EAEA4109614 23 15  0  0 0 034 000011000011000000 0000000000
EAEA4109616  8  9  0  0 0 012 000011000011000000 0000000000
EAEA4110314 37  6 10  4 4 242 421111111111111100 0000000000
EAEA4111112 35 21  3  2 1 044 321011111011111000 0000000000
EAEA4111114 19 19  0  0 0 022 000011000011111022 4310111110
EAEA4111116 44        0 0  3   00 1  00 1  11 1   32 1  11 
EAEA4112412  5  1  0  0 0 021 000011000011000000 0000000000
EAEA4112414  1  1  0  0 0 011 000011000011000020 0000100000
EAEA4112416  6  0  0  0 0 020 000010000010100100 1001001001
EAEA4113912  2  2  1  1 0 021 110011110011110010 1100101100
EAEA4115212 11  6  1  1 0 043 110011110011110000 0000000000
EAEA4115214 11  5  0  0 0 042 000011000011110001 1100011100
EAEA4115216 10  6  0  0 0 033 000011000011000000 0000000000
EAEA4116714 42 27  4  4 0 043 110011110011110000 0000000000
EAEA4117814 12  0  0  0 0 020 000010000011110012 2200111100
EAEA4119512 52 33  4  4 0 043 110011110011110000 1100001100
EAEA4119514  2  1  0  0 0 021 000011000011000000 0000000000
EAEA4119516 58  0  0  0 0 030 000010000010000010 0000100000
EAEA4120712 18  4  2  2 0 042 110011110011110000 0000000000
EAEA4120714 12  2  0  0 0 032 000011000011000000 0000000000
EAEA4121514 55  0  0  0 0 030 000010000011000002 0000010000
EAEA4123012 26 20  8  8 0 043 220011110011110000 0000000000
EAEA4123014 12  2  2  2 0 031 110011110011110000 0000000000
EAEA4123016 24 18  8  8 0 043 220011110011110000 0000000000
EAEA4124212  6  1  0  0 0 031 000011000011000000 0000000000
EAEA4124214  9  1  0  0 0 031 000011000011000000 0000000000
EAEA4124216 26  0  0  0 0 020 000010000011000011 0000110000
EAEA4127412  2  0  0  0 0 020 000010000010110000 1100001100
EAEA4127414  2  0  1  1 0 020 110010110010110010 0000100000
EAEA4127416  1  0  0  0 0 010 000010000010000000 0000000000
EAEA4128912 45 13  4  4 0 044 110011110011110000 0000000000
EAEA4128914 35 21  0  0 0 045 000011000011101000 1010001010
EAEA4128916 20 14  0  0 0 033 000011000011101011 2020111010
EAEA4131714 16  4  0  0 0 031 000011000011000000 0000000000
EAEA4132512 37  8  0  0 0 041 000011000011111104 5311011111
EAEA4132514  6  4  0  0 0 032 000011000011110000 1100001100
EAEA4132516  6  3  0  0 0 033 000011000011110001 1100011100
EAEA4133312  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4133314  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4133316  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4136112  4  0  0  0 0 030 000010000011110001 1100011100
EAEA4136114  5  0  0  0 0 020 000010000011000021 0000110000
EAEA4136116  3  0  0  0 0 020 000010000011111123 3111111111
EAEA4137212 13  8  2  2 0 045 220011110011110000 0000000000
EAEA4137214 39 13  0  0 0 043 000011000011000000 0000000000
EAEA4137216 11  4  0  0 0 043 000011000011000000 0000000000
EAEA4138612 31 30 24 21 2 145 641111111111111100 2011001011
EAEA4138614 26 25 26 20 6 045 642011111011111000 0000000000
